,Unnamed: 0,CHAMP1_x,Team_x,CHAMP2_x,Year_x,CHAMP1_y,CHAMP2_y,Partidas_x,bResult,categorie
13287,13287,Marksman/,blue,Support/Tank/,2015,Marksman/,Mage/,3,3,Marksman/Mage/
13298,13298,Marksman/,blue,Support/Tank/,2015,Marksman/Mage/,Support/Fighter/,1,1,Marksman/Mage/Support/Fighter/
13322,13322,Marksman/,blue,Support/Tank/,2015,Marksman/,Mage/Marksman/,1,1,Marksman/Mage/Marksman/
13353,13353,Marksman/,blue,Support/Tank/,2016,Marksman/Support/,Fighter/Tank/,2,0,Marksman/Support/Fighter/Tank/
13363,13363,Marksman/,blue,Support/Tank/,2016,Marksman/Support/,Support/Tank/,4,2,Marksman/Support/Support/Tank/
13492,13492,Marksman/,blue,Support/Tank/,2017,Marksman/,Tank/Support/,2,1,Marksman/Tank/Support/
13650,13650,Marksman/,blue,Support/Tank/,2017,Marksman/,Tank/Mage/,1,1,Marksman/Tank/Mage/
13651,13651,Marksman/,blue,Support/Tank/,2017,Marksman/Support/,Support/,2,1,Marksman/Support/Support/
13652,13652,Marksman/,blue,Support/Tank/,2017,Marksman/Mage/,Tank/,2,1,Marksman/Mage/Tank/
13657,13657,Marksman/,blue,Support/Tank/,2017,Marksman/,Support/Tank/,2,1,Marksman/Support/Tank/
13679,13679,Marksman/,blue,Support/Tank/,2015,Marksman/Assassin/,Support/Fighter/,3,2,Marksman/Assassin/Support/Fighter/
13700,13700,Marksman/,blue,Support/Tank/,2016,Marksman/Mage/,Mage/Fighter/,1,0,Marksman/Mage/Mage/Fighter/
13708,13708,Marksman/,blue,Support/Tank/,2016,Marksman/Mage/,Mage/,1,0,Marksman/Mage/Mage/
13745,13745,Marksman/,blue,Support/Tank/,2017,Marksman/Support/,Mage/Assassin/,1,1,Marksman/Support/Mage/Assassin/
13775,13775,Marksman/,blue,Support/Tank/,2017,Marksman/Assassin/,Fighter/Tank/,3,1,Marksman/Assassin/Fighter/Tank/
13794,13794,Marksman/,blue,Support/Tank/,2016,Mage/Support/,Mage/Support/,1,1,Mage/Support/Mage/Support/
13830,13830,Marksman/,blue,Support/Tank/,2017,Marksman/,Mage/Marksman/,1,1,Marksman/Mage/Marksman/
13847,13847,Marksman/,blue,Support/Tank/,2017,Mage/,Mage/Support/,1,1,Mage/Mage/Support/
13848,13848,Marksman/,blue,Support/Tank/,2017,Marksman/Support/,Tank/,1,1,Marksman/Support/Tank/
13853,13853,Marksman/,blue,Support/Tank/,2017,Marksman/Mage/,Tank/Fighter/,1,1,Marksman/Mage/Tank/Fighter/
13926,13926,Marksman/,blue,Support/Tank/,2017,Marksman/Assassin/,Mage/Assassin/,3,1,Marksman/Assassin/Mage/Assassin/
13935,13935,Marksman/,blue,Support/Tank/,2017,Marksman/Mage/,Mage/Assassin/,1,1,Marksman/Mage/Mage/Assassin/
13963,13963,Marksman/,blue,Support/Tank/,2014,Marksman/Assassin/,Support/Fighter/,2,1,Marksman/Assassin/Support/Fighter/
13969,13969,Marksman/,blue,Support/Tank/,2014,Marksman/,Tank/Support/,1,1,Marksman/Tank/Support/
13984,13984,Marksman/,blue,Support/Tank/,2014,Marksman/,Support/Mage/,1,1,Marksman/Support/Mage/
13985,13985,Marksman/,blue,Support/Tank/,2014,Marksman/Assassin/,Support/Mage/,1,0,Marksman/Assassin/Support/Mage/
14015,14015,Marksman/,blue,Support/Tank/,2015,Marksman/Support/,Tank/Support/,1,1,Marksman/Support/Tank/Support/
14045,14045,Marksman/,blue,Support/Tank/,2015,Marksman/Assassin/,Tank/,1,0,Marksman/Assassin/Tank/
14094,14094,Marksman/,blue,Support/Tank/,2018,Marksman/Mage/,Support/Tank/,4,1,Marksman/Mage/Support/Tank/
14113,14113,Marksman/,blue,Support/Tank/,2018,Marksman/,Support/Tank/,3,0,Marksman/Support/Tank/
14114,14114,Marksman/,blue,Support/Tank/,2018,Marksman/Mage/,Support/Mage/,5,3,Marksman/Mage/Support/Mage/
14138,14138,Marksman/,blue,Support/Tank/,2018,Marksman/Mage/,Tank/,1,1,Marksman/Mage/Tank/
14154,14154,Marksman/,blue,Support/Tank/,2018,Marksman/Assassin/,Support/Mage/,1,0,Marksman/Assassin/Support/Mage/
14160,14160,Marksman/,blue,Support/Tank/,2018,Marksman/,Support/Mage/,1,0,Marksman/Support/Mage/
14164,14164,Marksman/,blue,Support/Tank/,2016,Marksman/Assassin/,Tank/Fighter/,1,0,Marksman/Assassin/Tank/Fighter/
14165,14165,Marksman/,blue,Support/Tank/,2016,Marksman/Mage/,Tank/Fighter/,1,1,Marksman/Mage/Tank/Fighter/
14168,14168,Marksman/,blue,Support/Tank/,2017,Marksman/,Mage/Support/,1,0,Marksman/Mage/Support/
14171,14171,Marksman/,blue,Support/Tank/,2017,Marksman/Support/,Fighter/Tank/,1,0,Marksman/Support/Fighter/Tank/
14178,14178,Marksman/,blue,Support/Tank/,2018,Marksman/Assassin/,Support/Fighter/,1,1,Marksman/Assassin/Support/Fighter/
14218,14218,Marksman/,blue,Support/Tank/,2017,Marksman/,Fighter/Tank/,1,1,Marksman/Fighter/Tank/
14231,14231,Marksman/,blue,Support/Tank/,2018,Marksman/Mage/,Tank/Support/,5,3,Marksman/Mage/Tank/Support/
14235,14235,Marksman/,blue,Support/Tank/,2018,Marksman/Mage/,Support/Fighter/,1,1,Marksman/Mage/Support/Fighter/
14245,14245,Marksman/,blue,Support/Tank/,2018,Marksman/,Tank/Support/,2,2,Marksman/Tank/Support/
14254,14254,Marksman/,blue,Support/Tank/,2018,Marksman/Mage/,Mage/,1,1,Marksman/Mage/Mage/
