CHAMP1,CHAMP2,CHAMP1_POSITION,CHAMP2_POSITION,VICTORY,DEFEAT,TOTALPLAYED,PERCENTVICTORY,PERCENTDEFEAT,YEAR,SEASON,TEAM
Sivir,Blitzcrank,AD_CARRY,SUPPORT,0,2,2,0.0,1.0,2015,Spring,Red
Sion,RekSai,TOP_LANER,JUNGLER,1,4,5,0.2,0.8,2015,Spring,Blue
RekSai,Orianna,JUNGLER,MID_LANER,2,3,5,0.4,0.6,2015,Spring,Blue
KogMaw,Janna,AD_CARRY,SUPPORT,2,3,5,0.4,0.6,2015,Spring,Blue
Kassadin,Vi,TOP_LANER,JUNGLER,1,0,1,1.0,0.0,2015,Spring,Red
Vi,Zed,JUNGLER,MID_LANER,4,3,7,0.5714285714285714,0.42857142857142855,2015,Spring,Red
Vi,Morgana,AD_CARRY,SUPPORT,3,3,6,0.5,0.5,2015,Spring,Red
Corki,Morgana,AD_CARRY,SUPPORT,6,3,9,0.6666666666666666,0.3333333333333333,2015,Spring,Red
Irelia,Nocturne,TOP_LANER,JUNGLER,1,0,1,1.0,0.0,2015,Spring,Blue
Nocturne,Orianna,JUNGLER,MID_LANER,2,0,2,1.0,0.0,2015,Spring,Blue
Nocturne,Nami,JUNGLER,SUPPORT,1,1,2,0.5,0.5,2015,Spring,Blue
Sivir,Nami,AD_CARRY,SUPPORT,4,1,5,0.8,0.2,2015,Spring,Blue
Gnar,Rengar,TOP_LANER,JUNGLER,5,3,8,0.625,0.375,2015,Spring,Red
Rengar,Morgana,AD_CARRY,SUPPORT,1,2,3,0.3333333333333333,0.6666666666666666,2015,Spring,Red
Graves,Morgana,AD_CARRY,SUPPORT,1,5,6,0.16666666666666666,0.8333333333333334,2015,Spring,Red
JarvanIV,Morgana,JUNGLER,SUPPORT,8,7,15,0.5333333333333333,0.4666666666666667,2015,Spring,Blue
Corki,Morgana,AD_CARRY,SUPPORT,7,6,13,0.5384615384615384,0.46153846153846156,2015,Spring,Blue
Lulu,LeeSin,TOP_LANER,JUNGLER,2,2,4,0.5,0.5,2015,Spring,Red
LeeSin,Xerath,JUNGLER,MID_LANER,4,6,10,0.4,0.6,2015,Spring,Red
Ezreal,Janna,AD_CARRY,SUPPORT,0,4,4,0.0,1.0,2015,Spring,Red
Jax,JarvanIV,TOP_LANER,JUNGLER,2,2,4,0.5,0.5,2015,Spring,Blue
JarvanIV,Kassadin,JUNGLER,MID_LANER,8,4,12,0.6666666666666666,0.3333333333333333,2015,Spring,Blue
Graves,Morgana,AD_CARRY,SUPPORT,5,4,9,0.5555555555555556,0.4444444444444444,2015,Spring,Blue
