CHAMP1,CHAMP2,CHAMP1_POSITION,CHAMP2_POSITION,VICTORY,DEFEAT,TOTALPLAYED,PERCENTVICTORY,PERCENTDEFEAT,YEAR,SEASON,TEAM
Sivir,Janna,AD_CARRY,SUPPORT,1,1,2,0.5,0.5,2017,Spring,Red
Sivir,Morgana,AD_CARRY,SUPPORT,0,1,1,0.0,1.0,2017,Spring,Blue
Olaf,Syndra,JUNGLER,MID_LANER,5,5,10,0.5,0.5,2017,Spring,Blue
Olaf,Nami,JUNGLER,SUPPORT,1,1,2,0.5,0.5,2017,Spring,Blue
Rengar,Soraka,AD_CARRY,SUPPORT,0,2,2,0.0,1.0,2017,Spring,Red
Jhin,Soraka,AD_CARRY,SUPPORT,0,2,2,0.0,1.0,2017,Spring,Red
Graves,Bard,JUNGLER,SUPPORT,1,3,4,0.25,0.75,2017,Spring,Blue
Ezreal,Bard,AD_CARRY,SUPPORT,1,0,1,1.0,0.0,2017,Spring,Blue
Rengar,Syndra,JUNGLER,MID_LANER,10,11,21,0.47619047619047616,0.5238095238095238,2017,Spring,Red
Jayce,Elise,TOP_LANER,JUNGLER,7,7,14,0.5,0.5,2017,Spring,Red
Elise,AurelionSol,JUNGLER,MID_LANER,3,2,5,0.6,0.4,2017,Spring,Red
Elise,Braum,AD_CARRY,SUPPORT,2,5,7,0.2857142857142857,0.7142857142857143,2017,Spring,Red
Ezreal,Braum,AD_CARRY,SUPPORT,3,1,4,0.75,0.25,2017,Spring,Red
Renekton,Graves,TOP_LANER,JUNGLER,4,9,13,0.3076923076923077,0.6923076923076923,2017,Spring,Red
Graves,Jayce,JUNGLER,MID_LANER,5,7,12,0.4166666666666667,0.5833333333333334,2017,Spring,Blue
Graves,TahmKench,JUNGLER,SUPPORT,14,9,23,0.6086956521739131,0.391304347826087,2017,Spring,Blue
Gnar,Nidalee,TOP_LANER,JUNGLER,0,2,2,0.0,1.0,2017,Spring,Red
Nidalee,Karma,AD_CARRY,SUPPORT,0,3,3,0.0,1.0,2017,Spring,Red
Graves,Nautilus,JUNGLER,SUPPORT,5,3,8,0.625,0.375,2017,Spring,Blue
Mordekaiser,Nautilus,AD_CARRY,SUPPORT,1,0,1,1.0,0.0,2017,Spring,Blue
Renekton,Khazix,TOP_LANER,JUNGLER,6,7,13,0.46153846153846156,0.5384615384615384,2017,Spring,Red
Khazix,Talon,JUNGLER,MID_LANER,1,2,3,0.3333333333333333,0.6666666666666666,2017,Spring,Red
Ekko,LeeSin,TOP_LANER,JUNGLER,3,1,4,0.75,0.25,2017,Spring,Blue
Elise,TwistedFate,JUNGLER,MID_LANER,0,1,1,0.0,1.0,2017,Spring,Red
Elise,Lulu,AD_CARRY,SUPPORT,14,9,23,0.6086956521739131,0.391304347826087,2017,Spring,Red
Caitlyn,Lulu,AD_CARRY,SUPPORT,13,13,26,0.5,0.5,2017,Spring,Red
Graves,Blitzcrank,JUNGLER,SUPPORT,3,0,3,1.0,0.0,2017,Spring,Blue
Mordekaiser,Blitzcrank,AD_CARRY,SUPPORT,1,0,1,1.0,0.0,2017,Spring,Blue
Rumble,Khazix,TOP_LANER,JUNGLER,9,13,22,0.4090909090909091,0.5909090909090909,2017,Spring,Red
Sivir,Karma,AD_CARRY,SUPPORT,13,14,27,0.48148148148148145,0.5185185185185185,2017,Spring,Red
Rengar,Syndra,JUNGLER,MID_LANER,23,16,39,0.5897435897435898,0.41025641025641024,2017,Spring,Blue
Graves,Braum,AD_CARRY,SUPPORT,1,8,9,0.1111111111111111,0.8888888888888888,2017,Spring,Red
Jhin,Braum,AD_CARRY,SUPPORT,3,8,11,0.2727272727272727,0.7272727272727273,2017,Spring,Red
Rengar,Alistar,JUNGLER,SUPPORT,0,2,2,0.0,1.0,2017,Spring,Blue
Ezreal,Alistar,AD_CARRY,SUPPORT,0,1,1,0.0,1.0,2017,Spring,Blue
Khazix,Syndra,JUNGLER,MID_LANER,23,17,40,0.575,0.425,2017,Spring,Red
Kled,Elise,TOP_LANER,JUNGLER,7,1,8,0.875,0.125,2017,Spring,Blue
Elise,Jayce,JUNGLER,MID_LANER,14,10,24,0.5833333333333334,0.4166666666666667,2017,Spring,Blue
Gragas,LeeSin,TOP_LANER,JUNGLER,5,8,13,0.38461538461538464,0.6153846153846154,2017,Spring,Blue
LeeSin,TahmKench,JUNGLER,SUPPORT,3,5,8,0.375,0.625,2017,Spring,Blue
Ezreal,TahmKench,AD_CARRY,SUPPORT,5,4,9,0.5555555555555556,0.4444444444444444,2017,Spring,Blue
Rengar,Orianna,JUNGLER,MID_LANER,6,22,28,0.21428571428571427,0.7857142857142857,2017,Spring,Red
Gangplank,Zac,TOP_LANER,JUNGLER,1,0,1,1.0,0.0,2017,Spring,Blue
Zac,Leblanc,JUNGLER,MID_LANER,1,0,1,1.0,0.0,2017,Spring,Blue
Zac,Lulu,JUNGLER,SUPPORT,3,0,3,1.0,0.0,2017,Spring,Blue
Rengar,Zed,JUNGLER,MID_LANER,1,3,4,0.25,0.75,2017,Spring,Red
Rengar,TahmKench,AD_CARRY,SUPPORT,3,6,9,0.3333333333333333,0.6666666666666666,2017,Spring,Red
Caitlyn,TahmKench,AD_CARRY,SUPPORT,0,7,7,0.0,1.0,2017,Spring,Red
Renekton,Elise,TOP_LANER,JUNGLER,9,11,20,0.45,0.55,2017,Spring,Blue
Elise,Cassiopeia,JUNGLER,MID_LANER,6,6,12,0.5,0.5,2017,Spring,Blue
Elise,Thresh,JUNGLER,SUPPORT,4,5,9,0.4444444444444444,0.5555555555555556,2017,Spring,Blue
Ezreal,Thresh,AD_CARRY,SUPPORT,7,2,9,0.7777777777777778,0.2222222222222222,2017,Spring,Blue
Rengar,Azir,JUNGLER,MID_LANER,2,2,4,0.5,0.5,2017,Spring,Red
Graves,TahmKench,AD_CARRY,SUPPORT,4,11,15,0.26666666666666666,0.7333333333333333,2017,Spring,Red
Jhin,TahmKench,AD_CARRY,SUPPORT,8,20,28,0.2857142857142857,0.7142857142857143,2017,Spring,Red
Rengar,TahmKench,JUNGLER,SUPPORT,17,6,23,0.7391304347826086,0.2608695652173913,2017,Spring,Blue
Camille,Khazix,TOP_LANER,JUNGLER,5,3,8,0.625,0.375,2017,Spring,Red
Khazix,Vladimir,JUNGLER,MID_LANER,1,5,6,0.16666666666666666,0.8333333333333334,2017,Spring,Red
Renekton,Graves,TOP_LANER,JUNGLER,3,3,6,0.5,0.5,2017,Spring,Blue
Graves,Syndra,JUNGLER,MID_LANER,23,9,32,0.71875,0.28125,2017,Spring,Blue
Khazix,Camille,AD_CARRY,SUPPORT,0,2,2,0.0,1.0,2017,Spring,Red
Ezreal,Camille,AD_CARRY,SUPPORT,0,2,2,0.0,1.0,2017,Spring,Red
Rengar,Viktor,JUNGLER,MID_LANER,6,6,12,0.5,0.5,2017,Spring,Blue
Rengar,Camille,JUNGLER,SUPPORT,1,0,1,1.0,0.0,2017,Spring,Blue
Ashe,Camille,AD_CARRY,SUPPORT,2,1,3,0.6666666666666666,0.3333333333333333,2017,Spring,Blue
Khazix,Soraka,AD_CARRY,SUPPORT,0,1,1,0.0,1.0,2017,Spring,Red
Varus,Soraka,AD_CARRY,SUPPORT,1,1,2,0.5,0.5,2017,Spring,Red
Swain,Graves,TOP_LANER,JUNGLER,0,2,2,0.0,1.0,2017,Spring,Blue
Rengar,Lulu,AD_CARRY,SUPPORT,12,25,37,0.32432432432432434,0.6756756756756757,2017,Spring,Red
Ezreal,Lulu,AD_CARRY,SUPPORT,15,15,30,0.5,0.5,2017,Spring,Red
Rumble,Elise,TOP_LANER,JUNGLER,8,3,11,0.7272727272727273,0.2727272727272727,2017,Spring,Blue
Elise,Talon,JUNGLER,MID_LANER,6,3,9,0.6666666666666666,0.3333333333333333,2017,Spring,Blue
Graves,Ahri,JUNGLER,MID_LANER,10,10,20,0.5,0.5,2017,Spring,Red
Rumble,LeeSin,TOP_LANER,JUNGLER,17,8,25,0.68,0.32,2017,Spring,Blue
Renekton,Elise,TOP_LANER,JUNGLER,7,18,25,0.28,0.72,2017,Spring,Red
Elise,Talon,JUNGLER,MID_LANER,2,9,11,0.18181818181818182,0.8181818181818182,2017,Spring,Red
Sivir,Lulu,AD_CARRY,SUPPORT,3,7,10,0.3,0.7,2017,Spring,Red
Khazix,Ahri,JUNGLER,MID_LANER,8,9,17,0.47058823529411764,0.5294117647058824,2017,Spring,Red
Draven,Lulu,AD_CARRY,SUPPORT,0,2,2,0.0,1.0,2017,Spring,Red
Rengar,Maokai,JUNGLER,SUPPORT,0,1,1,0.0,1.0,2017,Spring,Blue
Mordekaiser,Maokai,AD_CARRY,SUPPORT,0,1,1,0.0,1.0,2017,Spring,Blue
Gangplank,Elise,TOP_LANER,JUNGLER,4,3,7,0.5714285714285714,0.42857142857142855,2017,Spring,Red
Elise,Ahri,JUNGLER,MID_LANER,5,6,11,0.45454545454545453,0.5454545454545454,2017,Spring,Red
Ezreal,Thresh,AD_CARRY,SUPPORT,7,2,9,0.7777777777777778,0.2222222222222222,2017,Spring,Red
Elise,Viktor,JUNGLER,MID_LANER,2,2,4,0.5,0.5,2017,Spring,Blue
Nautilus,Shaco,TOP_LANER,JUNGLER,0,1,1,0.0,1.0,2017,Spring,Red
Shaco,Anivia,JUNGLER,MID_LANER,0,1,1,0.0,1.0,2017,Spring,Red
Shaco,Karma,AD_CARRY,SUPPORT,0,1,1,0.0,1.0,2017,Spring,Red
Poppy,Graves,TOP_LANER,JUNGLER,6,4,10,0.6,0.4,2017,Spring,Blue
Graves,Ahri,JUNGLER,MID_LANER,19,9,28,0.6785714285714286,0.32142857142857145,2017,Spring,Blue
Rengar,Cassiopeia,JUNGLER,MID_LANER,8,5,13,0.6153846153846154,0.38461538461538464,2017,Spring,Red
Fiora,Graves,TOP_LANER,JUNGLER,2,5,7,0.2857142857142857,0.7142857142857143,2017,Spring,Red
Caitlyn,Thresh,AD_CARRY,SUPPORT,3,7,10,0.3,0.7,2017,Spring,Red
LeeSin,Braum,JUNGLER,SUPPORT,3,1,4,0.75,0.25,2017,Spring,Blue
Ziggs,Braum,AD_CARRY,SUPPORT,2,0,2,1.0,0.0,2017,Spring,Blue
Graves,Ryze,JUNGLER,MID_LANER,19,8,27,0.7037037037037037,0.2962962962962963,2017,Spring,Blue
Ziggs,Karma,AD_CARRY,SUPPORT,3,1,4,0.75,0.25,2017,Spring,Blue
LeeSin,Viktor,JUNGLER,MID_LANER,5,7,12,0.4166666666666667,0.5833333333333334,2017,Spring,Red
Elise,Malzahar,JUNGLER,SUPPORT,14,10,24,0.5833333333333334,0.4166666666666667,2017,Spring,Blue
Shen,Gragas,TOP_LANER,JUNGLER,2,1,3,0.6666666666666666,0.3333333333333333,2017,Spring,Red
Gragas,Katarina,JUNGLER,MID_LANER,1,0,1,1.0,0.0,2017,Spring,Red
Gragas,Lulu,AD_CARRY,SUPPORT,5,6,11,0.45454545454545453,0.5454545454545454,2017,Spring,Red
Kled,Zac,TOP_LANER,JUNGLER,1,0,1,1.0,0.0,2017,Spring,Blue
Zac,Cassiopeia,JUNGLER,MID_LANER,1,0,1,1.0,0.0,2017,Spring,Blue
Ezreal,Lulu,AD_CARRY,SUPPORT,29,14,43,0.6744186046511628,0.32558139534883723,2017,Spring,Blue
Renekton,Olaf,TOP_LANER,JUNGLER,1,1,2,0.5,0.5,2017,Spring,Red
Olaf,Ahri,JUNGLER,MID_LANER,0,1,1,0.0,1.0,2017,Spring,Red
Ezreal,Taric,AD_CARRY,SUPPORT,1,1,2,0.5,0.5,2017,Spring,Red
Trundle,Rengar,TOP_LANER,JUNGLER,2,1,3,0.6666666666666666,0.3333333333333333,2017,Spring,Blue
Kled,Graves,TOP_LANER,JUNGLER,1,1,2,0.5,0.5,2017,Spring,Red
Poppy,Gragas,TOP_LANER,JUNGLER,3,1,4,0.75,0.25,2017,Spring,Blue
Gragas,Ahri,JUNGLER,MID_LANER,2,0,2,1.0,0.0,2017,Spring,Blue
Gragas,Lulu,JUNGLER,SUPPORT,6,2,8,0.75,0.25,2017,Spring,Blue
Renekton,Rengar,TOP_LANER,JUNGLER,6,12,18,0.3333333333333333,0.6666666666666666,2017,Spring,Red
Rengar,Viktor,JUNGLER,MID_LANER,3,6,9,0.3333333333333333,0.6666666666666666,2017,Spring,Red
Jayce,Karma,AD_CARRY,SUPPORT,0,1,1,0.0,1.0,2017,Spring,Red
Graves,Lulu,JUNGLER,SUPPORT,20,15,35,0.5714285714285714,0.42857142857142855,2017,Spring,Blue
Rengar,Ekko,JUNGLER,MID_LANER,1,5,6,0.16666666666666666,0.8333333333333334,2017,Spring,Red
Gragas,Graves,TOP_LANER,JUNGLER,12,13,25,0.48,0.52,2017,Spring,Blue
Graves,Vladimir,JUNGLER,MID_LANER,4,10,14,0.2857142857142857,0.7142857142857143,2017,Spring,Blue
Caitlyn,Karma,AD_CARRY,SUPPORT,14,15,29,0.4827586206896552,0.5172413793103449,2017,Spring,Blue
Rengar,Bard,AD_CARRY,SUPPORT,1,2,3,0.3333333333333333,0.6666666666666666,2017,Spring,Red
Ezreal,Bard,AD_CARRY,SUPPORT,0,1,1,0.0,1.0,2017,Spring,Red
Rengar,Ahri,JUNGLER,MID_LANER,7,5,12,0.5833333333333334,0.4166666666666667,2017,Spring,Red
Camille,Elise,TOP_LANER,JUNGLER,18,7,25,0.72,0.28,2017,Spring,Blue
Elise,Ryze,JUNGLER,MID_LANER,1,4,5,0.2,0.8,2017,Spring,Blue
Elise,Karma,JUNGLER,SUPPORT,16,13,29,0.5517241379310345,0.4482758620689655,2017,Spring,Blue
Ziggs,Braum,AD_CARRY,SUPPORT,0,1,1,0.0,1.0,2017,Spring,Red
Renekton,LeeSin,TOP_LANER,JUNGLER,7,2,9,0.7777777777777778,0.2222222222222222,2017,Spring,Blue
LeeSin,Talon,JUNGLER,MID_LANER,6,0,6,1.0,0.0,2017,Spring,Blue
Ziggs,Malzahar,AD_CARRY,SUPPORT,3,1,4,0.75,0.25,2017,Spring,Blue
Elise,Ahri,JUNGLER,MID_LANER,7,1,8,0.875,0.125,2017,Spring,Blue
Gragas,Rengar,TOP_LANER,JUNGLER,8,7,15,0.5333333333333333,0.4666666666666667,2017,Spring,Blue
RekSai,Cassiopeia,JUNGLER,MID_LANER,1,5,6,0.16666666666666666,0.8333333333333334,2017,Spring,Blue
RekSai,Karma,JUNGLER,SUPPORT,9,10,19,0.47368421052631576,0.5263157894736842,2017,Spring,Blue
Nautilus,Olaf,TOP_LANER,JUNGLER,1,1,2,0.5,0.5,2017,Spring,Red
Olaf,Vladimir,JUNGLER,MID_LANER,2,0,2,1.0,0.0,2017,Spring,Red
Rumble,Olaf,TOP_LANER,JUNGLER,2,1,3,0.6666666666666666,0.3333333333333333,2017,Spring,Blue
Olaf,Talon,JUNGLER,MID_LANER,1,0,1,1.0,0.0,2017,Spring,Blue
Swain,Rengar,TOP_LANER,JUNGLER,0,1,1,0.0,1.0,2017,Spring,Red
LeeSin,Lulu,JUNGLER,SUPPORT,20,15,35,0.5714285714285714,0.42857142857142855,2017,Spring,Blue
KogMaw,Lulu,AD_CARRY,SUPPORT,3,5,8,0.375,0.625,2017,Spring,Blue
Nautilus,Gragas,TOP_LANER,JUNGLER,1,2,3,0.3333333333333333,0.6666666666666666,2017,Spring,Red
Gragas,Syndra,JUNGLER,MID_LANER,1,3,4,0.25,0.75,2017,Spring,Red
Gragas,Karma,AD_CARRY,SUPPORT,4,7,11,0.36363636363636365,0.6363636363636364,2017,Spring,Red
Caitlyn,Karma,AD_CARRY,SUPPORT,15,13,28,0.5357142857142857,0.4642857142857143,2017,Spring,Red
Khazix,Vladimir,JUNGLER,MID_LANER,4,4,8,0.5,0.5,2017,Spring,Blue
Rengar,Thresh,AD_CARRY,SUPPORT,5,2,7,0.7142857142857143,0.2857142857142857,2017,Spring,Red
Maokai,Gragas,TOP_LANER,JUNGLER,0,3,3,0.0,1.0,2017,Spring,Blue
Gragas,Talon,JUNGLER,MID_LANER,2,4,6,0.3333333333333333,0.6666666666666666,2017,Spring,Blue
Gragas,Karma,JUNGLER,SUPPORT,5,8,13,0.38461538461538464,0.6153846153846154,2017,Spring,Blue
Camille,RekSai,TOP_LANER,JUNGLER,2,5,7,0.2857142857142857,0.7142857142857143,2017,Spring,Blue
Ekko,LeeSin,TOP_LANER,JUNGLER,2,0,2,1.0,0.0,2017,Spring,Red
Elise,Orianna,JUNGLER,MID_LANER,11,5,16,0.6875,0.3125,2017,Spring,Red
LeeSin,Ahri,JUNGLER,MID_LANER,5,6,11,0.45454545454545453,0.5454545454545454,2017,Spring,Blue
Nautilus,Elise,TOP_LANER,JUNGLER,16,12,28,0.5714285714285714,0.42857142857142855,2017,Spring,Red
Camille,Gragas,TOP_LANER,JUNGLER,5,2,7,0.7142857142857143,0.2857142857142857,2017,Spring,Blue
Gragas,Vladimir,JUNGLER,MID_LANER,6,5,11,0.5454545454545454,0.45454545454545453,2017,Spring,Blue
Gragas,Nami,JUNGLER,SUPPORT,2,1,3,0.6666666666666666,0.3333333333333333,2017,Spring,Blue
Jhin,Nami,AD_CARRY,SUPPORT,6,6,12,0.5,0.5,2017,Spring,Blue
Rumble,Rengar,TOP_LANER,JUNGLER,5,13,18,0.2777777777777778,0.7222222222222222,2017,Spring,Red
Rumble,Gragas,TOP_LANER,JUNGLER,0,4,4,0.0,1.0,2017,Spring,Blue
Gragas,Zed,JUNGLER,MID_LANER,0,1,1,0.0,1.0,2017,Spring,Blue
Elise,Vladimir,JUNGLER,MID_LANER,1,3,4,0.25,0.75,2017,Spring,Red
LeeSin,Vladimir,JUNGLER,MID_LANER,5,3,8,0.625,0.375,2017,Spring,Blue
Elise,Nautilus,JUNGLER,SUPPORT,4,0,4,1.0,0.0,2017,Spring,Blue
Ezreal,Nautilus,AD_CARRY,SUPPORT,1,1,2,0.5,0.5,2017,Spring,Blue
Gangplank,Gragas,TOP_LANER,JUNGLER,3,3,6,0.5,0.5,2017,Spring,Red
Gragas,Ahri,JUNGLER,MID_LANER,0,5,5,0.0,1.0,2017,Spring,Red
Gragas,Thresh,AD_CARRY,SUPPORT,1,3,4,0.25,0.75,2017,Spring,Red
LeeSin,Ahri,JUNGLER,MID_LANER,9,6,15,0.6,0.4,2017,Spring,Red
Ezreal,TahmKench,AD_CARRY,SUPPORT,0,2,2,0.0,1.0,2017,Spring,Red
Ezreal,Zyra,AD_CARRY,SUPPORT,8,6,14,0.5714285714285714,0.42857142857142855,2017,Spring,Blue
Gragas,Rengar,TOP_LANER,JUNGLER,3,5,8,0.375,0.625,2017,Spring,Red
Nautilus,Zac,TOP_LANER,JUNGLER,1,0,1,1.0,0.0,2017,Spring,Blue
Zac,Jayce,JUNGLER,MID_LANER,1,1,2,0.5,0.5,2017,Spring,Blue
Kalista,Lulu,AD_CARRY,SUPPORT,4,2,6,0.6666666666666666,0.3333333333333333,2017,Spring,Blue
Jayce,Zac,TOP_LANER,JUNGLER,1,1,2,0.5,0.5,2017,Spring,Red
Zac,Ahri,JUNGLER,MID_LANER,1,0,1,1.0,0.0,2017,Spring,Red
Zac,Karma,AD_CARRY,SUPPORT,1,2,3,0.3333333333333333,0.6666666666666666,2017,Spring,Red
Draven,Karma,AD_CARRY,SUPPORT,1,0,1,1.0,0.0,2017,Spring,Red
Rumble,Gragas,TOP_LANER,JUNGLER,3,2,5,0.6,0.4,2017,Spring,Red
Gragas,Orianna,JUNGLER,MID_LANER,2,1,3,0.6666666666666666,0.3333333333333333,2017,Spring,Red
Camille,Evelynn,TOP_LANER,JUNGLER,0,1,1,0.0,1.0,2017,Spring,Blue
Evelynn,Syndra,JUNGLER,MID_LANER,0,1,1,0.0,1.0,2017,Spring,Blue
Evelynn,Lulu,JUNGLER,SUPPORT,0,1,1,0.0,1.0,2017,Spring,Blue
Poppy,Gragas,TOP_LANER,JUNGLER,1,2,3,0.3333333333333333,0.6666666666666666,2017,Spring,Red
Gragas,Vladimir,JUNGLER,MID_LANER,4,2,6,0.6666666666666666,0.3333333333333333,2017,Spring,Red
Nidalee,Lulu,JUNGLER,SUPPORT,1,2,3,0.3333333333333333,0.6666666666666666,2017,Spring,Blue
Ziggs,Lulu,AD_CARRY,SUPPORT,3,1,4,0.75,0.25,2017,Spring,Blue
Khazix,Zed,JUNGLER,MID_LANER,8,0,8,1.0,0.0,2017,Spring,Blue
Ziggs,Karma,AD_CARRY,SUPPORT,0,7,7,0.0,1.0,2017,Spring,Red
RekSai,Lulu,JUNGLER,SUPPORT,2,3,5,0.4,0.6,2017,Spring,Blue
JarvanIV,Elise,TOP_LANER,JUNGLER,1,1,2,0.5,0.5,2017,Spring,Blue
Elise,Orianna,JUNGLER,MID_LANER,7,4,11,0.6363636363636364,0.36363636363636365,2017,Spring,Blue
Lucian,Malzahar,AD_CARRY,SUPPORT,7,1,8,0.875,0.125,2017,Spring,Blue
Twitch,TahmKench,AD_CARRY,SUPPORT,2,2,4,0.5,0.5,2017,Spring,Red
Elise,Zed,JUNGLER,MID_LANER,4,6,10,0.4,0.6,2017,Spring,Blue
Lucian,Lulu,AD_CARRY,SUPPORT,9,11,20,0.45,0.55,2017,Spring,Blue
Gragas,Orianna,JUNGLER,MID_LANER,2,1,3,0.6666666666666666,0.3333333333333333,2017,Spring,Blue
Gragas,Zyra,JUNGLER,SUPPORT,1,0,1,1.0,0.0,2017,Spring,Blue
Khazix,Viktor,JUNGLER,MID_LANER,2,6,8,0.25,0.75,2017,Spring,Red
Singed,Rengar,TOP_LANER,JUNGLER,1,1,2,0.5,0.5,2017,Spring,Blue
LeeSin,Taliyah,JUNGLER,MID_LANER,7,4,11,0.6363636363636364,0.36363636363636365,2017,Spring,Blue
Fiora,Gragas,TOP_LANER,JUNGLER,0,3,3,0.0,1.0,2017,Spring,Red
Gragas,Janna,AD_CARRY,SUPPORT,0,1,1,0.0,1.0,2017,Spring,Red
Caitlyn,Janna,AD_CARRY,SUPPORT,0,1,1,0.0,1.0,2017,Spring,Red
Fizz,Gragas,TOP_LANER,JUNGLER,2,1,3,0.6666666666666666,0.3333333333333333,2017,Spring,Blue
Gragas,Jayce,JUNGLER,MID_LANER,1,1,2,0.5,0.5,2017,Spring,Blue
LeeSin,Vladimir,JUNGLER,MID_LANER,3,4,7,0.42857142857142855,0.5714285714285714,2017,Spring,Red
Gragas,Olaf,TOP_LANER,JUNGLER,1,0,1,1.0,0.0,2017,Spring,Blue
Olaf,Taliyah,JUNGLER,MID_LANER,3,1,4,0.75,0.25,2017,Spring,Blue
Olaf,Lulu,JUNGLER,SUPPORT,2,1,3,0.6666666666666666,0.3333333333333333,2017,Spring,Blue
Rengar,Taliyah,JUNGLER,MID_LANER,0,10,10,0.0,1.0,2017,Spring,Red
Khazix,Taliyah,JUNGLER,MID_LANER,11,7,18,0.6111111111111112,0.3888888888888889,2017,Spring,Blue
Rengar,Vladimir,JUNGLER,MID_LANER,7,8,15,0.4666666666666667,0.5333333333333333,2017,Spring,Red
Kled,Rengar,TOP_LANER,JUNGLER,2,1,3,0.6666666666666666,0.3333333333333333,2017,Spring,Blue
Elise,Taric,AD_CARRY,SUPPORT,1,1,2,0.5,0.5,2017,Spring,Red
Lucian,Nami,AD_CARRY,SUPPORT,4,1,5,0.8,0.2,2017,Spring,Red
Khazix,Karthus,JUNGLER,MID_LANER,1,0,1,1.0,0.0,2017,Spring,Blue
Renekton,Gragas,TOP_LANER,JUNGLER,2,1,3,0.6666666666666666,0.3333333333333333,2017,Spring,Blue
Ezreal,Malzahar,AD_CARRY,SUPPORT,5,8,13,0.38461538461538464,0.6153846153846154,2017,Spring,Blue
Rengar,Brand,AD_CARRY,SUPPORT,0,1,1,0.0,1.0,2017,Spring,Red
Varus,Brand,AD_CARRY,SUPPORT,2,1,3,0.6666666666666666,0.3333333333333333,2017,Spring,Red
Lucian,Karma,AD_CARRY,SUPPORT,6,3,9,0.6666666666666666,0.3333333333333333,2017,Spring,Blue
Kalista,Thresh,AD_CARRY,SUPPORT,5,2,7,0.7142857142857143,0.2857142857142857,2017,Spring,Red
Varus,Lulu,AD_CARRY,SUPPORT,24,14,38,0.631578947368421,0.3684210526315789,2017,Spring,Blue
LeeSin,Taliyah,JUNGLER,MID_LANER,5,11,16,0.3125,0.6875,2017,Spring,Red
Rengar,Vladimir,JUNGLER,MID_LANER,6,4,10,0.6,0.4,2017,Spring,Blue
Khazix,Taliyah,JUNGLER,MID_LANER,5,3,8,0.625,0.375,2017,Spring,Red
Olaf,Jayce,JUNGLER,MID_LANER,0,2,2,0.0,1.0,2017,Spring,Blue
Olaf,Zyra,JUNGLER,SUPPORT,2,5,7,0.2857142857142857,0.7142857142857143,2017,Spring,Blue
Nautilus,Gragas,TOP_LANER,JUNGLER,1,0,1,1.0,0.0,2017,Spring,Blue
Graves,Taliyah,JUNGLER,MID_LANER,10,7,17,0.5882352941176471,0.4117647058823529,2017,Spring,Blue
Renekton,Nidalee,TOP_LANER,JUNGLER,1,0,1,1.0,0.0,2017,Spring,Red
Nidalee,Talon,JUNGLER,MID_LANER,1,0,1,1.0,0.0,2017,Spring,Red
Nidalee,Lulu,AD_CARRY,SUPPORT,1,2,3,0.3333333333333333,0.6666666666666666,2017,Spring,Red
Nidalee,Taliyah,JUNGLER,MID_LANER,0,1,1,0.0,1.0,2017,Spring,Blue
Gragas,Nami,AD_CARRY,SUPPORT,2,3,5,0.4,0.6,2017,Spring,Red
Nidalee,Cassiopeia,JUNGLER,MID_LANER,0,1,1,0.0,1.0,2017,Spring,Blue
Nautilus,Ivern,TOP_LANER,JUNGLER,7,6,13,0.5384615384615384,0.46153846153846156,2017,Spring,Red
Fizz,Khazix,TOP_LANER,JUNGLER,2,0,2,1.0,0.0,2017,Spring,Red
Fizz,Rengar,TOP_LANER,JUNGLER,2,3,5,0.4,0.6,2017,Spring,Red
Rengar,AurelionSol,JUNGLER,MID_LANER,3,1,4,0.75,0.25,2017,Spring,Red
DrMundo,Rengar,TOP_LANER,JUNGLER,1,0,1,1.0,0.0,2017,Spring,Blue
Kennen,Zyra,AD_CARRY,SUPPORT,2,2,4,0.5,0.5,2017,Spring,Red
Rengar,Talon,JUNGLER,MID_LANER,4,1,5,0.8,0.2,2017,Spring,Blue
Fizz,Graves,TOP_LANER,JUNGLER,3,2,5,0.6,0.4,2017,Spring,Red
Kalista,Nami,AD_CARRY,SUPPORT,0,1,1,0.0,1.0,2017,Spring,Blue
Renekton,Evelynn,TOP_LANER,JUNGLER,1,0,1,1.0,0.0,2017,Spring,Red
Evelynn,Talon,JUNGLER,MID_LANER,1,0,1,1.0,0.0,2017,Spring,Red
JarvanIV,Graves,TOP_LANER,JUNGLER,1,0,1,1.0,0.0,2017,Spring,Blue
Kled,Rengar,TOP_LANER,JUNGLER,1,4,5,0.2,0.8,2017,Spring,Red
Gragas,Braum,JUNGLER,SUPPORT,2,3,5,0.4,0.6,2017,Spring,Blue
Ashe,Braum,AD_CARRY,SUPPORT,1,4,5,0.2,0.8,2017,Spring,Blue
Lucian,Karma,AD_CARRY,SUPPORT,7,11,18,0.3888888888888889,0.6111111111111112,2017,Spring,Red
Kennen,Ivern,TOP_LANER,JUNGLER,0,3,3,0.0,1.0,2017,Spring,Blue
Ivern,Orianna,JUNGLER,MID_LANER,2,3,5,0.4,0.6,2017,Spring,Blue
Renekton,LeeSin,TOP_LANER,JUNGLER,3,3,6,0.5,0.5,2017,Spring,Red
Graves,Taliyah,JUNGLER,MID_LANER,1,8,9,0.1111111111111111,0.8888888888888888,2017,Spring,Red
Rumble,Ivern,TOP_LANER,JUNGLER,2,2,4,0.5,0.5,2017,Spring,Red
Ivern,Jayce,JUNGLER,MID_LANER,2,2,4,0.5,0.5,2017,Spring,Red
