CHAMP1,CHAMP2,Year,Season,Team,CHAMP1_POS,CHAMP2_POS,Total_Played,Wins
Evelynn,Corki,2017,Spring,blue,Jungle,Middle,1,1
Graves,Katarina,2017,Spring,blue,Jungle,Middle,5,2
Ekko,Yasuo,2017,Spring,blue,Jungle,Middle,1,1
Illaoi,LeeSin,2017,Spring,blue,Jungle,Middle,1,0
Zac,Orianna,2017,Spring,blue,Jungle,Middle,1,1
LeeSin,Lulu,2017,Summer,blue,Jungle,Middle,1,0
Olaf,Karma,2017,Summer,blue,Jungle,Middle,3,0
Graves,AurelionSol,2017,Summer,blue,Jungle,Middle,1,0
LeeSin,Fizz,2017,Summer,blue,Jungle,Middle,1,1
Gragas,Azir,2017,Summer,blue,Jungle,Middle,1,1
Olaf,Leblanc,2017,Summer,blue,Jungle,Middle,1,1
Elise,Lulu,2017,Summer,blue,Jungle,Middle,3,3
LeeSin,Kassadin,2017,Summer,blue,Jungle,Middle,1,0
Zac,Talon,2017,Summer,blue,Jungle,Middle,1,1
RekSai,Quinn,2017,Summer,blue,Jungle,Middle,1,1
Sejuani,AurelionSol,2017,Summer,blue,Jungle,Middle,1,1
Maokai,Leblanc,2017,Summer,blue,Jungle,Middle,3,1
Kayn,Corki,2017,Summer,blue,Jungle,Middle,2,0
JarvanIV,Lulu,2017,Summer,blue,Jungle,Middle,1,1
Maokai,Karma,2017,Summer,blue,Jungle,Middle,1,1
Zac,Quinn,2017,Summer,blue,Jungle,Middle,1,0
RekSai,Jayce,2017,Summer,blue,Jungle,Middle,1,1
JarvanIV,Talon,2017,Summer,blue,Jungle,Middle,1,0
Zac,TwistedFate,2016,Spring,blue,Jungle,Middle,1,1
RekSai,Yasuo,2016,Spring,blue,Jungle,Middle,1,0
LeeSin,Anivia,2016,Spring,blue,Jungle,Middle,2,1
Zac,Yasuo,2016,Spring,blue,Jungle,Middle,1,1
RekSai,Gangplank,2016,Spring,blue,Jungle,Middle,2,1
Zac,Kassadin,2016,Spring,blue,Jungle,Middle,1,1
LeeSin,Kassadin,2016,Spring,blue,Jungle,Middle,1,0
RekSai,Jayce,2016,Spring,blue,Jungle,Middle,1,0
Gragas,Yasuo,2016,Spring,blue,Jungle,Middle,1,1
RekSai,Diana,2016,Spring,blue,Jungle,Middle,2,1
Rumble,Lux,2016,Spring,blue,Jungle,Middle,1,1
Udyr,TwistedFate,2016,Spring,blue,Jungle,Middle,2,1
Ekko,Lissandra,2016,Spring,blue,Jungle,Middle,1,0
Ekko,Zilean,2016,Spring,blue,Jungle,Middle,3,2
Ekko,Anivia,2016,Spring,blue,Jungle,Middle,1,0
Gragas,Anivia,2016,Spring,blue,Jungle,Middle,2,1
Kassadin,Elise,2016,Spring,blue,Jungle,Middle,1,0
Poppy,Gangplank,2016,Spring,blue,Jungle,Middle,1,0
RekSai,Azir,2016,Spring,blue,Jungle,Middle,3,2
Ekko,Leblanc,2016,Spring,blue,Jungle,Middle,1,1
Shen,Corki,2016,Spring,blue,Jungle,Middle,1,1
Bard,Azir,2016,Spring,blue,Jungle,Middle,1,0
Graves,Orianna,2016,Summer,blue,Jungle,Middle,1,0
Elise,Lulu,2016,Summer,blue,Jungle,Middle,2,1
Kindred,Varus,2016,Summer,blue,Jungle,Middle,1,0
Zac,TwistedFate,2016,Summer,blue,Jungle,Middle,1,0
Ekko,Viktor,2016,Summer,blue,Jungle,Middle,1,0
Zac,Gangplank,2016,Summer,blue,Jungle,Middle,1,0
Kindred,Orianna,2016,Summer,blue,Jungle,Middle,1,0
Ekko,Swain,2016,Summer,blue,Jungle,Middle,1,0
Zac,Viktor,2016,Summer,blue,Jungle,Middle,1,1
RekSai,Orianna,2016,Summer,blue,Jungle,Middle,4,2
Hecarim,TwistedFate,2016,Summer,blue,Jungle,Middle,1,0
Gragas,Jhin,2016,Summer,blue,Jungle,Middle,2,1
Zac,Vladimir,2016,Summer,blue,Jungle,Middle,1,1
Khazix,Ryze,2016,Summer,blue,Jungle,Middle,2,2
JarvanIV,Lucian,2016,Summer,blue,Jungle,Middle,1,0
Gragas,Diana,2016,Summer,blue,Jungle,Middle,1,1
Ivern,Ekko,2017,Spring,blue,Jungle,Middle,2,2
Elise,Malzahar,2017,Spring,blue,Jungle,Middle,2,2
Hecarim,Cassiopeia,2017,Spring,blue,Jungle,Middle,1,0
Ivern,Zed,2017,Spring,blue,Jungle,Middle,2,2
Warwick,Orianna,2017,Spring,blue,Jungle,Middle,1,0
RekSai,Talon,2017,Spring,blue,Jungle,Middle,1,0
LeeSin,Jhin,2017,Spring,blue,Jungle,Middle,1,1
Nidalee,Ahri,2017,Spring,blue,Jungle,Middle,1,0
Hecarim,Taliyah,2017,Spring,blue,Jungle,Middle,2,0
Gragas,Vladimir,2017,Summer,blue,Jungle,Middle,3,2
Nunu,Fiora,2017,Summer,blue,Jungle,Middle,1,1
Khazix,Ekko,2017,Summer,blue,Jungle,Middle,1,1
Nunu,Karma,2017,Summer,blue,Jungle,Middle,2,2
Nidalee,Orianna,2017,Summer,blue,Jungle,Middle,3,2
Gragas,Zilean,2017,Summer,blue,Jungle,Middle,2,0
Maokai,Vladimir,2017,Summer,blue,Jungle,Middle,1,1
JarvanIV,Vladimir,2017,Summer,blue,Jungle,Middle,2,0
Kayn,Galio,2017,Summer,blue,Jungle,Middle,2,1
Maokai,Galio,2017,Summer,blue,Jungle,Middle,1,1
RekSai,Zed,2017,Summer,blue,Jungle,Middle,1,1
Nocturne,Ryze,2017,Spring,blue,Jungle,Middle,1,0
Graves,Xerath,2017,Spring,blue,Jungle,Middle,1,0
JarvanIV,Corki,2017,Spring,blue,Jungle,Middle,1,0
Ivern,Azir,2017,Spring,blue,Jungle,Middle,1,1
Zac,Yasuo,2017,Summer,blue,Jungle,Middle,1,0
Elise,Fizz,2017,Summer,blue,Jungle,Middle,2,2
Graves,Karma,2017,Summer,blue,Jungle,Middle,1,0
Graves,Corki,2017,Summer,blue,Jungle,Middle,1,1
RekSai,Ekko,2017,Summer,blue,Jungle,Middle,3,2
Elise,Katarina,2017,Summer,blue,Jungle,Middle,1,1
LeeSin,Ziggs,2017,Spring,blue,Jungle,Middle,1,0
Hecarim,Syndra,2017,Spring,blue,Jungle,Middle,1,0
Zac,Viktor,2017,Spring,blue,Jungle,Middle,1,0
Zac,Corki,2017,Spring,blue,Jungle,Middle,1,1
Zac,Azir,2017,Spring,blue,Jungle,Middle,1,0
RekSai,Ziggs,2017,Spring,blue,Jungle,Middle,1,0
Elise,Ziggs,2017,Spring,blue,Jungle,Middle,2,1
LeeSin,Lux,2017,Spring,blue,Jungle,Middle,1,0
Khazix,Azir,2017,Spring,blue,Jungle,Middle,3,2
Khazix,Kassadin,2017,Spring,blue,Jungle,Middle,1,1
RekSai,Vladimir,2017,Spring,blue,Jungle,Middle,4,0
Shaco,Talon,2017,Spring,blue,Jungle,Middle,1,1
Rengar,Fizz,2017,Spring,blue,Jungle,Middle,1,0
LeeSin,Galio,2017,Spring,blue,Jungle,Middle,1,0
Olaf,Vladimir,2017,Spring,blue,Jungle,Middle,3,1
Ivern,Galio,2017,Summer,blue,Jungle,Middle,2,1
Rammus,Orianna,2017,Summer,blue,Jungle,Middle,1,1
Rengar,Ahri,2017,Summer,blue,Jungle,Middle,2,1
RekSai,JarvanIV,2017,Summer,blue,Jungle,Middle,1,1
Nidalee,Anivia,2017,Summer,blue,Jungle,Middle,1,0
Kayn,Lux,2017,Summer,blue,Jungle,Middle,1,1
Kayn,Vladimir,2017,Summer,blue,Jungle,Middle,1,0
Poppy,Anivia,2017,Summer,blue,Jungle,Middle,1,0
Rengar,Viktor,2016,Spring,blue,Jungle,Middle,1,0
Rumble,Corki,2016,Spring,blue,Jungle,Middle,1,0
Rumble,Zed,2016,Spring,blue,Jungle,Middle,2,2
LeeSin,Velkoz,2016,Spring,blue,Jungle,Middle,1,1
Ekko,Zed,2016,Spring,blue,Jungle,Middle,2,2
Graves,Ziggs,2016,Spring,blue,Jungle,Middle,1,1
Udyr,Azir,2016,Spring,blue,Jungle,Middle,1,0
Kindred,Zilean,2016,Summer,blue,Jungle,Middle,1,1
Elise,Ziggs,2016,Summer,blue,Jungle,Middle,1,1
Olaf,Viktor,2017,Spring,blue,Jungle,Middle,1,0
Nidalee,Talon,2017,Spring,blue,Jungle,Middle,1,1
Rumble,Syndra,2017,Spring,blue,Jungle,Middle,1,0
Elise,Velkoz,2017,Spring,blue,Jungle,Middle,1,1
RekSai,Ahri,2017,Spring,blue,Jungle,Middle,2,0
Evelynn,Syndra,2017,Summer,blue,Jungle,Middle,1,0
Elise,Anivia,2017,Summer,blue,Jungle,Middle,2,1
Olaf,Viktor,2017,Summer,blue,Jungle,Middle,1,0
Warwick,Cassiopeia,2017,Summer,blue,Jungle,Middle,3,2
Zac,Katarina,2017,Summer,blue,Jungle,Middle,1,0
Zac,Zed,2017,Summer,blue,Jungle,Middle,1,0
LeeSin,Anivia,2017,Summer,blue,Jungle,Middle,1,0
LeeSin,Ziggs,2017,Summer,blue,Jungle,Middle,1,1
Olaf,Azir,2017,Summer,blue,Jungle,Middle,1,0
Sejuani,Velkoz,2017,Summer,blue,Jungle,Middle,1,1
Warwick,Jayce,2017,Summer,blue,Jungle,Middle,2,1
Sejuani,Ziggs,2017,Summer,blue,Jungle,Middle,1,1
Khazix,Anivia,2017,Summer,blue,Jungle,Middle,1,1
JarvanIV,Anivia,2017,Summer,blue,Jungle,Middle,1,1
Jax,Syndra,2017,Summer,blue,Jungle,Middle,1,0
Poppy,Corki,2016,Spring,blue,Jungle,Middle,1,1
Poppy,Anivia,2016,Spring,blue,Jungle,Middle,1,1
Zac,Viktor,2016,Spring,blue,Jungle,Middle,1,0
Graves,Xerath,2016,Spring,blue,Jungle,Middle,1,1
Graves,Orianna,2016,Spring,blue,Jungle,Middle,1,0
Poppy,Kayle,2016,Spring,blue,Jungle,Middle,1,0
Leblanc,Jhin,2016,Spring,blue,Jungle,Middle,1,0
Lulu,Viktor,2016,Summer,blue,Jungle,Middle,1,1
Nidalee,Lulu,2016,Summer,blue,Jungle,Middle,1,0
Elise,Zed,2016,Summer,blue,Jungle,Middle,2,1
JarvanIV,Leblanc,2016,Summer,blue,Jungle,Middle,1,1
Olaf,Ekko,2017,Spring,blue,Jungle,Middle,1,0
Nautilus,Ryze,2017,Spring,blue,Jungle,Middle,1,0
Nocturne,Orianna,2017,Spring,blue,Jungle,Middle,1,1
Sejuani,Orianna,2017,Spring,blue,Jungle,Middle,2,1
Hecarim,Corki,2017,Spring,blue,Jungle,Middle,1,1
Nocturne,Leblanc,2017,Spring,blue,Jungle,Middle,1,1
Graves,Anivia,2017,Spring,blue,Jungle,Middle,1,1
Nocturne,Ahri,2017,Spring,blue,Jungle,Middle,1,1
Sejuani,Fizz,2017,Summer,blue,Jungle,Middle,4,3
Gragas,Heimerdinger,2017,Summer,blue,Jungle,Middle,1,1
Elise,Azir,2017,Summer,blue,Jungle,Middle,1,1
Rammus,Anivia,2017,Summer,blue,Jungle,Middle,1,1
Warwick,Ziggs,2017,Summer,blue,Jungle,Middle,1,1
Olaf,Anivia,2017,Summer,blue,Jungle,Middle,1,1
Chogath,Vladimir,2017,Summer,blue,Jungle,Middle,1,1
Sejuani,Anivia,2017,Summer,blue,Jungle,Middle,1,1
Kayn,Anivia,2017,Summer,blue,Jungle,Middle,1,1
Kayn,Karma,2017,Summer,blue,Jungle,Middle,1,0
JarvanIV,Orianna,2014,Summer,blue,Jungle,Middle,4,1
LeeSin,Yasuo,2014,Summer,blue,Jungle,Middle,7,5
LeeSin,Syndra,2014,Summer,blue,Jungle,Middle,2,0
Rengar,Zilean,2014,Summer,blue,Jungle,Middle,1,1
Khazix,Syndra,2014,Summer,blue,Jungle,Middle,2,2
Rengar,Orianna,2014,Summer,blue,Jungle,Middle,2,2
Khazix,Orianna,2014,Summer,blue,Jungle,Middle,5,3
LeeSin,Xerath,2014,Summer,blue,Jungle,Middle,1,1
Rengar,Zed,2014,Summer,blue,Jungle,Middle,1,1
Khazix,Zed,2014,Summer,blue,Jungle,Middle,5,3
LeeSin,Ahri,2014,Summer,blue,Jungle,Middle,2,1
LeeSin,TwistedFate,2014,Summer,blue,Jungle,Middle,3,2
Khazix,Yasuo,2014,Summer,blue,Jungle,Middle,1,0
Pantheon,Jayce,2014,Summer,blue,Jungle,Middle,1,0
LeeSin,Orianna,2014,Summer,blue,Jungle,Middle,4,2
LeeSin,Zed,2014,Summer,blue,Jungle,Middle,3,2
Khazix,Ziggs,2014,Summer,blue,Jungle,Middle,1,1
JarvanIV,Fizz,2014,Summer,blue,Jungle,Middle,2,1
Rengar,Kassadin,2014,Summer,blue,Jungle,Middle,1,1
JarvanIV,Syndra,2014,Summer,blue,Jungle,Middle,1,1
JarvanIV,Xerath,2014,Summer,blue,Jungle,Middle,1,0
LeeSin,Lulu,2014,Summer,blue,Jungle,Middle,1,1
JarvanIV,Zed,2014,Summer,blue,Jungle,Middle,2,0
Elise,Zed,2014,Summer,blue,Jungle,Middle,2,1
Evelynn,Zilean,2014,Summer,blue,Jungle,Middle,1,1
LeeSin,Fizz,2014,Summer,blue,Jungle,Middle,1,1
JarvanIV,Yasuo,2014,Summer,blue,Jungle,Middle,1,1
Elise,Syndra,2014,Summer,blue,Jungle,Middle,2,0
Rammus,Ahri,2014,Summer,blue,Jungle,Middle,1,1
LeeSin,Zilean,2014,Summer,blue,Jungle,Middle,1,0
Elise,Ahri,2014,Summer,blue,Jungle,Middle,1,1
Elise,Jayce,2014,Summer,blue,Jungle,Middle,2,1
Khazix,Kassadin,2014,Summer,blue,Jungle,Middle,1,0
Khazix,Ahri,2014,Summer,blue,Jungle,Middle,1,0
LeeSin,Jayce,2014,Summer,blue,Jungle,Middle,2,1
LeeSin,Talon,2014,Summer,blue,Jungle,Middle,1,0
Khazix,Lulu,2014,Summer,blue,Jungle,Middle,1,1
Rengar,Jayce,2014,Summer,blue,Jungle,Middle,2,2
Rengar,TwistedFate,2014,Summer,blue,Jungle,Middle,1,0
Pantheon,Ryze,2014,Summer,blue,Jungle,Middle,1,1
Rengar,Talon,2014,Summer,blue,Jungle,Middle,1,1
Rammus,Ryze,2014,Summer,blue,Jungle,Middle,1,1
Nidalee,Gangplank,2015,Summer,blue,Jungle,Middle,1,1
Ekko,Veigar,2015,Summer,blue,Jungle,Middle,1,0
LeeSin,Veigar,2015,Summer,blue,Jungle,Middle,1,1
Elise,Veigar,2015,Summer,blue,Jungle,Middle,3,1
Elise,Leblanc,2015,Summer,blue,Jungle,Middle,2,2
Skarner,Gangplank,2015,Summer,blue,Jungle,Middle,1,1
RekSai,Irelia,2015,Summer,blue,Jungle,Middle,1,0
JarvanIV,Ekko,2015,Summer,blue,Jungle,Middle,1,0
Elise,Ekko,2015,Summer,blue,Jungle,Middle,2,1
Elise,Ryze,2015,Summer,blue,Jungle,Middle,1,1
Rengar,Lulu,2015,Summer,blue,Jungle,Middle,1,0
Vi,Lulu,2015,Summer,blue,Jungle,Middle,1,0
RekSai,Anivia,2015,Summer,blue,Jungle,Middle,4,2
Elise,Anivia,2015,Summer,blue,Jungle,Middle,1,1
Elise,Kassadin,2015,Summer,blue,Jungle,Middle,1,1
RekSai,Veigar,2015,Summer,blue,Jungle,Middle,1,0
Zac,Veigar,2015,Summer,blue,Jungle,Middle,1,1
Elise,Jayce,2016,Summer,blue,Jungle,Middle,1,1
Nocturne,Malzahar,2016,Summer,blue,Jungle,Middle,1,1
Nidalee,AurelionSol,2016,Summer,blue,Jungle,Middle,1,1
Olaf,Syndra,2016,Summer,blue,Jungle,Middle,3,3
Alistar,AurelionSol,2016,Summer,blue,Jungle,Middle,1,1
Skarner,Viktor,2016,Summer,blue,Jungle,Middle,1,0
LeeSin,Syndra,2016,Summer,blue,Jungle,Middle,4,4
Skarner,Cassiopeia,2016,Summer,blue,Jungle,Middle,1,1
Nidalee,Syndra,2016,Summer,blue,Jungle,Middle,1,1
LeeSin,Cassiopeia,2016,Summer,blue,Jungle,Middle,3,1
Elise,AurelionSol,2016,Summer,blue,Jungle,Middle,3,1
LeeSin,Orianna,2016,Summer,blue,Jungle,Middle,3,2
LeeSin,AurelionSol,2016,Summer,blue,Jungle,Middle,3,2
LeeSin,Jayce,2016,Summer,blue,Jungle,Middle,1,0
Zac,Orianna,2016,Summer,blue,Jungle,Middle,1,0
Sejuani,Ryze,2017,Summer,blue,Jungle,Middle,4,2
Ezreal,Syndra,2017,Summer,blue,Jungle,Middle,1,0
Elise,Ryze,2017,Summer,blue,Jungle,Middle,1,0
Gragas,Ryze,2017,Summer,blue,Jungle,Middle,3,2
Kayn,Ryze,2017,Summer,blue,Jungle,Middle,1,0
RekSai,Malzahar,2017,Summer,blue,Jungle,Middle,1,1
RekSai,Ryze,2017,Summer,blue,Jungle,Middle,1,1
Ivern,Corki,2017,Summer,blue,Jungle,Middle,1,0
Sejuani,Lissandra,2017,Summer,blue,Jungle,Middle,1,1
Sejuani,Karma,2017,Summer,blue,Jungle,Middle,2,1
Sejuani,Malzahar,2017,Summer,blue,Jungle,Middle,3,3
Zac,Malzahar,2017,Summer,blue,Jungle,Middle,1,1
Gragas,Leblanc,2015,Spring,blue,Jungle,Middle,3,3
RekSai,Vladimir,2015,Spring,blue,Jungle,Middle,1,1
Nautilus,Cassiopeia,2015,Spring,blue,Jungle,Middle,1,1
Gragas,Fizz,2015,Spring,blue,Jungle,Middle,1,0
Gragas,TwistedFate,2015,Spring,blue,Jungle,Middle,1,1
Graves,Ekko,2016,Spring,blue,Jungle,Middle,1,0
Kindred,Cassiopeia,2016,Spring,blue,Jungle,Middle,1,0
Nunu,Leblanc,2017,Spring,blue,Jungle,Middle,1,0
LeeSin,Fizz,2017,Spring,blue,Jungle,Middle,1,1
Khazix,Lulu,2017,Spring,blue,Jungle,Middle,1,1
Olaf,Ahri,2017,Spring,blue,Jungle,Middle,1,1
Ivern,Lucian,2017,Spring,blue,Jungle,Middle,1,0
JarvanIV,Diana,2015,Spring,blue,Jungle,Middle,2,1
Nidalee,Viktor,2015,Spring,blue,Jungle,Middle,1,1
Gragas,Anivia,2015,Summer,blue,Jungle,Middle,1,1
Elise,Cassiopeia,2015,Summer,blue,Jungle,Middle,1,1
RekSai,Lissandra,2015,Summer,blue,Jungle,Middle,1,0
Gragas,Kindred,2015,Summer,blue,Jungle,Middle,1,1
DrMundo,Viktor,2015,Summer,blue,Jungle,Middle,1,1
DrMundo,Ryze,2015,Summer,blue,Jungle,Middle,1,1
Elise,Talon,2016,Spring,blue,Jungle,Middle,1,0
Elise,Orianna,2016,Summer,blue,Jungle,Middle,1,0
Olaf,Orianna,2016,Summer,blue,Jungle,Middle,3,2
Nidalee,Orianna,2016,Summer,blue,Jungle,Middle,1,1
Ivern,Syndra,2016,Summer,blue,Jungle,Middle,1,0
LeeSin,Taliyah,2016,Summer,blue,Jungle,Middle,1,1
Ivern,Orianna,2016,Summer,blue,Jungle,Middle,1,0
Khazix,Cassiopeia,2016,Summer,blue,Jungle,Middle,1,1
LeeSin,AurelionSol,2017,Summer,blue,Jungle,Middle,1,1
Gragas,Zed,2017,Summer,blue,Jungle,Middle,1,0
Ivern,Ryze,2017,Summer,blue,Jungle,Middle,1,0
Warwick,Leblanc,2017,Summer,blue,Jungle,Middle,1,0
Rengar,Jayce,2017,Summer,blue,Jungle,Middle,2,1
DrMundo,Ahri,2016,Spring,blue,Jungle,Middle,1,0
Ivern,Viktor,2017,Spring,blue,Jungle,Middle,1,1
FiddleSticks,Orianna,2014,Summer,blue,Jungle,Middle,1,1
Gragas,Malzahar,2018,Spring,blue,Jungle,Middle,2,2
Sejuani,Ryze,2018,Spring,blue,Jungle,Middle,10,6
Evelynn,Malzahar,2018,Spring,blue,Jungle,Middle,1,1
Zac,Ryze,2018,Spring,blue,Jungle,Middle,2,2
Khazix,Malzahar,2018,Spring,blue,Jungle,Middle,3,1
Evelynn,Leblanc,2018,Spring,blue,Jungle,Middle,1,0
Evelynn,Azir,2018,Spring,blue,Jungle,Middle,3,2
JarvanIV,Azir,2018,Spring,blue,Jungle,Middle,7,4
Rengar,Ryze,2018,Spring,blue,Jungle,Middle,1,0
Sejuani,Zoe,2018,Spring,blue,Jungle,Middle,3,2
JarvanIV,Ryze,2018,Spring,blue,Jungle,Middle,10,5
Nidalee,Cassiopeia,2018,Spring,blue,Jungle,Middle,1,0
Rengar,Malzahar,2018,Spring,blue,Jungle,Middle,4,2
JarvanIV,Zoe,2018,Spring,blue,Jungle,Middle,5,3
Khazix,Ryze,2018,Spring,blue,Jungle,Middle,7,4
Zac,Azir,2018,Spring,blue,Jungle,Middle,8,7
Jax,Azir,2018,Spring,blue,Jungle,Middle,4,3
Shyvana,Malzahar,2018,Spring,blue,Jungle,Middle,5,2
JarvanIV,Malzahar,2018,Spring,blue,Jungle,Middle,6,5
Khazix,Azir,2018,Spring,blue,Jungle,Middle,6,6
Ivern,Malzahar,2018,Spring,blue,Jungle,Middle,1,1
Sejuani,Azir,2018,Spring,blue,Jungle,Middle,4,2
Nidalee,Malzahar,2018,Spring,blue,Jungle,Middle,1,0
Sejuani,Malzahar,2018,Spring,blue,Jungle,Middle,2,1
Shyvana,Ryze,2018,Spring,blue,Jungle,Middle,3,0
Khazix,Zoe,2018,Spring,blue,Jungle,Middle,1,1
Khazix,Cassiopeia,2018,Spring,blue,Jungle,Middle,1,0
Shyvana,Azir,2018,Spring,blue,Jungle,Middle,2,1
Zac,Zoe,2018,Spring,blue,Jungle,Middle,4,4
Sejuani,Urgot,2018,Spring,blue,Jungle,Middle,1,0
Zac,Malzahar,2018,Spring,blue,Jungle,Middle,3,2
Zac,Taliyah,2018,Spring,blue,Jungle,Middle,4,2
Sejuani,Corki,2018,Spring,blue,Jungle,Middle,6,4
JarvanIV,Syndra,2018,Spring,blue,Jungle,Middle,2,0
LeeSin,Azir,2018,Spring,blue,Jungle,Middle,5,4
JarvanIV,Xerath,2018,Spring,blue,Jungle,Middle,1,0
Shyvana,Corki,2018,Spring,blue,Jungle,Middle,1,0
JarvanIV,Cassiopeia,2018,Spring,blue,Jungle,Middle,5,3
Sejuani,Xerath,2018,Spring,blue,Jungle,Middle,1,1
JarvanIV,Orianna,2018,Spring,blue,Jungle,Middle,5,2
Rengar,Corki,2018,Spring,blue,Jungle,Middle,1,0
Elise,Ahri,2015,Spring,blue,Jungle,Middle,2,0
Khazix,Orianna,2015,Spring,blue,Jungle,Middle,5,4
Elise,Orianna,2015,Spring,blue,Jungle,Middle,3,1
Khazix,Ziggs,2015,Spring,blue,Jungle,Middle,3,2
Khazix,Talon,2015,Spring,blue,Jungle,Middle,1,1
Khazix,Tristana,2015,Spring,blue,Jungle,Middle,1,1
Nunu,Orianna,2015,Spring,blue,Jungle,Middle,1,0
Elise,Syndra,2015,Spring,blue,Jungle,Middle,1,1
Rammus,Ziggs,2015,Spring,blue,Jungle,Middle,1,0
Nocturne,Xerath,2015,Spring,blue,Jungle,Middle,1,1
Khazix,Syndra,2015,Spring,blue,Jungle,Middle,2,0
Khazix,Fizz,2015,Spring,blue,Jungle,Middle,2,2
Zac,Leblanc,2015,Spring,blue,Jungle,Middle,1,0
Pantheon,Zed,2015,Spring,blue,Jungle,Middle,2,0
JarvanIV,Ziggs,2015,Spring,blue,Jungle,Middle,1,0
Karthus,Zed,2015,Spring,blue,Jungle,Middle,2,1
Lulu,TwistedFate,2015,Spring,blue,Jungle,Middle,1,0
Sejuani,Zed,2015,Summer,blue,Jungle,Middle,1,1
Gragas,Corki,2015,Summer,blue,Jungle,Middle,1,1
Khazix,Yasuo,2015,Spring,blue,Jungle,Middle,1,1
Nocturne,Zed,2015,Spring,blue,Jungle,Middle,1,0
Khazix,Ryze,2015,Spring,blue,Jungle,Middle,1,0
Vi,Jayce,2015,Spring,blue,Jungle,Middle,1,0
Elise,Xerath,2015,Spring,blue,Jungle,Middle,1,1
Syndra,Draven,2015,Spring,blue,Jungle,Middle,1,0
Khazix,Jayce,2015,Spring,blue,Jungle,Middle,1,1
Jax,Orianna,2015,Spring,blue,Jungle,Middle,1,0
Rammus,Ahri,2015,Spring,blue,Jungle,Middle,1,1
Pantheon,Leblanc,2015,Spring,blue,Jungle,Middle,1,1
RekSai,Corki,2015,Summer,blue,Jungle,Middle,1,0
Rammus,Azir,2016,Spring,blue,Jungle,Middle,1,0
Khazix,Zed,2015,Spring,blue,Jungle,Middle,1,0
Nunu,Azir,2016,Spring,blue,Jungle,Middle,1,1
Evelynn,Lulu,2016,Spring,blue,Jungle,Middle,2,0
Graves,Velkoz,2016,Summer,blue,Jungle,Middle,1,1
Gragas,Ekko,2016,Summer,blue,Jungle,Middle,1,1
Elise,Graves,2016,Summer,blue,Jungle,Middle,2,1
Gragas,Malzahar,2017,Spring,blue,Jungle,Middle,7,1
Gragas,Karma,2017,Spring,blue,Jungle,Middle,2,0
Gragas,Lux,2017,Spring,blue,Jungle,Middle,1,1
Nidalee,Malzahar,2017,Spring,blue,Jungle,Middle,1,0
RekSai,Anivia,2017,Spring,blue,Jungle,Middle,1,1
Rengar,Leblanc,2017,Summer,blue,Jungle,Middle,2,2
Nidalee,Talon,2017,Summer,blue,Jungle,Middle,1,0
Elise,Karthus,2017,Summer,blue,Jungle,Middle,1,1
Rengar,Karthus,2017,Summer,blue,Jungle,Middle,1,1
Graves,Jayce,2017,Summer,blue,Jungle,Middle,1,1
Nidalee,Corki,2018,Spring,blue,Jungle,Middle,2,1
JarvanIV,Taliyah,2018,Spring,blue,Jungle,Middle,2,0
RekSai,Corki,2018,Spring,blue,Jungle,Middle,1,1
Gragas,Syndra,2018,Spring,blue,Jungle,Middle,6,2
JarvanIV,Vladimir,2018,Spring,blue,Jungle,Middle,2,0
Elise,Xerath,2018,Spring,blue,Jungle,Middle,1,0
Gragas,Taliyah,2018,Spring,blue,Jungle,Middle,3,1
Poppy,Cassiopeia,2018,Spring,blue,Jungle,Middle,1,1
Elise,Taliyah,2018,Spring,blue,Jungle,Middle,1,1
Zac,Syndra,2018,Spring,blue,Jungle,Middle,2,1
Maokai,Syndra,2018,Spring,blue,Jungle,Middle,1,1
Gragas,Galio,2018,Spring,blue,Jungle,Middle,2,1
Sejuani,Taliyah,2018,Spring,blue,Jungle,Middle,5,5
Nidalee,Corki,2016,Summer,blue,Jungle,Middle,1,1
Kindred,Lulu,2016,Summer,blue,Jungle,Middle,1,0
Elise,Morgana,2016,Summer,blue,Jungle,Middle,1,0
Graves,Xerath,2016,Summer,blue,Jungle,Middle,1,0
Sejuani,Velkoz,2016,Summer,blue,Jungle,Middle,1,1
Sejuani,Lulu,2016,Summer,blue,Jungle,Middle,1,1
Gragas,Nautilus,2016,Summer,blue,Jungle,Middle,1,0
Graves,Lulu,2016,Summer,blue,Jungle,Middle,2,1
Hecarim,Kassadin,2017,Spring,blue,Jungle,Middle,2,1
Gragas,Kassadin,2017,Spring,blue,Jungle,Middle,1,0
Elise,Kassadin,2017,Spring,blue,Jungle,Middle,1,0
Hecarim,Vladimir,2017,Spring,blue,Jungle,Middle,1,1
Khazix,Akali,2017,Summer,blue,Jungle,Middle,1,1
Graves,Katarina,2017,Summer,blue,Jungle,Middle,1,0
Sejuani,Syndra,2018,Spring,blue,Jungle,Middle,1,0
Maokai,Taliyah,2018,Spring,blue,Jungle,Middle,1,0
Gragas,Viktor,2018,Spring,blue,Jungle,Middle,1,0
Sejuani,Lucian,2018,Spring,blue,Jungle,Middle,1,0
Maokai,Vladimir,2018,Spring,blue,Jungle,Middle,1,0
JarvanIV,Corki,2018,Spring,blue,Jungle,Middle,7,2
Maokai,Cassiopeia,2018,Spring,blue,Jungle,Middle,1,1
Maokai,Orianna,2018,Spring,blue,Jungle,Middle,1,0
