,CHAMP1_x,Team_x,CHAMP2_x,Year_x,CHAMP1_y,CHAMP2_y,Partidas_x,bResult
82,Sion,blue,RekSai,2015,Lulu,Nidalee,1,0
83,Rumble,blue,RekSai,2015,Sion,Zac,1,0
84,Sion,blue,LeeSin,2015,Lissandra,Gragas,1,1
85,Maokai,blue,Vi,2015,Kennen,RekSai,1,1
86,Kennen,blue,Zac,2015,Hecarim,Sejuani,1,0
87,Rumble,blue,Nunu,2015,Gragas,RekSai,1,1
88,Jax,blue,RekSai,2015,Rumble,Vi,1,0
89,Hecarim,blue,RekSai,2015,Lulu,Sejuani,1,0
90,Maokai,blue,Zac,2015,Hecarim,Vi,1,1
91,Rumble,blue,Gragas,2015,Maokai,RekSai,7,2
92,Rumble,blue,RekSai,2015,Gnar,Gragas,6,2
93,Maokai,blue,LeeSin,2015,Hecarim,Sejuani,1,1
94,Gnar,blue,RekSai,2015,Yasuo,Evelynn,1,0
95,Hecarim,blue,Nunu,2015,Rumble,Sejuani,1,0
96,Rumble,blue,Nunu,2015,Irelia,Sejuani,1,1
97,Gnar,blue,Zac,2015,Maokai,RekSai,1,1
98,Hecarim,blue,Evelynn,2015,Gnar,Sejuani,1,0
99,Rumble,blue,Sejuani,2015,Hecarim,Evelynn,1,1
100,Vladimir,blue,Gragas,2015,Hecarim,LeeSin,1,0
101,Irelia,blue,Gragas,2015,Ryze,RekSai,2,1
102,Ryze,blue,Sejuani,2015,Maokai,RekSai,1,0
103,Gnar,blue,RekSai,2015,Rumble,LeeSin,2,2
104,Maokai,blue,Sejuani,2015,Rumble,RekSai,3,0
105,Ryze,blue,Zac,2015,Irelia,Gragas,1,1
106,Maokai,blue,Gragas,2015,Rumble,Sejuani,2,1
107,Maokai,blue,RekSai,2015,Ryze,JarvanIV,1,0
108,Maokai,blue,LeeSin,2015,Gnar,RekSai,2,1
109,Rumble,blue,Sejuani,2015,Irelia,Gragas,1,0
110,Rumble,blue,RekSai,2015,Gnar,Zac,1,0
111,Gnar,blue,RekSai,2015,Hecarim,Nunu,1,0
112,Hecarim,blue,Gragas,2015,Fizz,RekSai,2,1
113,Hecarim,blue,Ekko,2015,Fizz,Nunu,1,1
114,Maokai,blue,LeeSin,2015,DrMundo,Nidalee,1,1
115,Hecarim,blue,JarvanIV,2015,Ekko,Gragas,1,0
116,Maokai,blue,Gragas,2015,Fizz,Nunu,1,1
117,Rumble,blue,RekSai,2015,Vladimir,Gragas,1,1
118,Rumble,blue,LeeSin,2015,Hecarim,Sejuani,1,0
119,Maokai,blue,RekSai,2015,Rumble,Gragas,4,3
120,Gnar,blue,Nunu,2015,Hecarim,RekSai,1,1
121,Hecarim,blue,XinZhao,2015,Ekko,RekSai,1,1
122,Rumble,blue,Sejuani,2015,Gnar,RekSai,1,0
123,Ekko,blue,RekSai,2015,Hecarim,Gragas,1,1
124,Rumble,blue,Sejuani,2015,Maokai,Nidalee,1,1
