BLUECHAMP,REDCHAMP,TAG_TO_COMPARE,pvalue,statistic
blueADCChamp,redADCChamp,Mage/Marksman,0.16069793756912473,1.4709493233564983
blueADCChamp,redADCChamp,Mage,0.031164851684885555,2.4155355628797404
blueADCChamp,redADCChamp,Marksman/Assassin,0.40289728298555383,0.8400999121591216
blueADCChamp,redADCChamp,Fighter,,
blueADCChamp,redADCChamp,Marksman/Mage,0.4665582148408123,0.7310965495087052
blueADCChamp,redADCChamp,Marksman/Support,0.8039663989390219,0.25058271334076015
blueADCChamp,redADCChamp,Marksman,0.3365759761681427,0.9635555835516798
