,CHAMP1,CHAMP2,Year,Season,Team,CHAMP1_POS,CHAMP2_POS,Total_Played,Wins
91,Morgana,JarvanIV,2015,Spring,blue,Top,Jungle,4,2
92,Maokai,LeeSin,2015,Spring,blue,Top,Jungle,15,7
93,Kennen,Sejuani,2015,Spring,blue,Top,Jungle,3,3
94,Morgana,Rengar,2015,Spring,blue,Top,Jungle,1,1
95,Morgana,Sejuani,2015,Spring,blue,Top,Jungle,1,1
96,Kennen,Hecarim,2015,Spring,blue,Top,Jungle,1,0
97,JarvanIV,RekSai,2015,Spring,blue,Top,Jungle,1,0
98,Maokai,Nunu,2015,Spring,blue,Top,Jungle,4,1
99,Yorick,Nunu,2015,Spring,blue,Top,Jungle,1,1
100,Renekton,RekSai,2015,Spring,blue,Top,Jungle,1,0
101,Gnar,Nunu,2015,Spring,blue,Top,Jungle,8,2
102,Fizz,Nidalee,2015,Spring,blue,Top,Jungle,2,0
103,Chogath,RekSai,2015,Spring,blue,Top,Jungle,2,2
104,Diana,Vi,2015,Spring,blue,Top,Jungle,1,0
105,Irelia,Sejuani,2015,Spring,blue,Top,Jungle,4,1
106,Sion,Udyr,2015,Spring,blue,Top,Jungle,3,3
107,Maokai,Shaco,2015,Spring,blue,Top,Jungle,1,1
108,LeeSin,Olaf,2015,Spring,blue,Top,Jungle,1,0
109,Shen,Gragas,2015,Spring,blue,Top,Jungle,1,0
110,LeeSin,Nunu,2015,Spring,blue,Top,Jungle,1,0
111,Vladimir,RekSai,2015,Spring,blue,Top,Jungle,3,1
112,Shyvana,LeeSin,2015,Spring,blue,Top,Jungle,1,1
113,Shyvana,RekSai,2015,Spring,blue,Top,Jungle,1,0
114,Rumble,Gragas,2015,Spring,blue,Top,Jungle,2,2
115,Shyvana,Sejuani,2015,Spring,blue,Top,Jungle,1,0
116,Shyvana,Gragas,2015,Spring,blue,Top,Jungle,1,1
117,Gnar,Sion,2015,Spring,blue,Top,Jungle,1,0
118,Rumble,Khazix,2015,Spring,blue,Top,Jungle,2,1
119,Rumble,Pantheon,2015,Spring,blue,Top,Jungle,1,1
120,Sion,JarvanIV,2015,Spring,blue,Top,Jungle,6,3
121,Lulu,JarvanIV,2015,Spring,blue,Top,Jungle,4,3
122,Lulu,Rengar,2015,Spring,blue,Top,Jungle,2,1
123,DrMundo,LeeSin,2015,Spring,blue,Top,Jungle,4,2
124,Kassadin,JarvanIV,2015,Spring,blue,Top,Jungle,5,4
125,Maokai,Khazix,2015,Spring,blue,Top,Jungle,4,0
126,Hecarim,Rengar,2015,Spring,blue,Top,Jungle,1,0
127,Nidalee,Vi,2015,Spring,blue,Top,Jungle,1,1
128,Hecarim,Udyr,2015,Spring,blue,Top,Jungle,1,1
129,Sion,Nunu,2015,Spring,blue,Top,Jungle,2,2
130,Nautilus,JarvanIV,2015,Spring,blue,Top,Jungle,1,0
131,Morgana,Gragas,2015,Spring,blue,Top,Jungle,1,0
132,Gnar,Nautilus,2015,Spring,blue,Top,Jungle,2,1
133,Hecarim,JarvanIV,2015,Spring,blue,Top,Jungle,5,2
134,Cassiopeia,Vi,2015,Spring,blue,Top,Jungle,1,0
135,RekSai,Rengar,2015,Spring,blue,Top,Jungle,1,0
