,CHAMP1_x,Team_x,Partidas_x,CHAMP2_POS_x,CHAMP1_POS_x,CHAMP2_x,Year_x,Season_x,bResult,CHAMP1_y,Team_y,Partidas_y,CHAMP2_POS_y,CHAMP1_POS_y,CHAMP2_y,Year_y,Season_y,rResult
40,Fizz,blue,1,Jungle,Top,RekSai,2015,Spring,0,Maokai,red,1,Jungle,Top,Vi,2015,Spring,1
41,Gnar,blue,1,Jungle,Top,RekSai,2015,Spring,0,Maokai,red,1,Jungle,Top,Nunu,2015,Spring,1
42,Maokai,blue,1,Jungle,Top,Nidalee,2015,Spring,1,DrMundo,red,1,Jungle,Top,LeeSin,2015,Spring,0
43,Rumble,blue,1,Jungle,Top,RekSai,2015,Spring,0,Maokai,red,1,Jungle,Top,Vi,2015,Spring,1
44,Maokai,blue,1,Jungle,Top,Vi,2015,Spring,1,Kassadin,red,1,Jungle,Top,RekSai,2015,Spring,0
45,Rumble,blue,1,Jungle,Top,RekSai,2015,Spring,1,Maokai,red,1,Jungle,Top,JarvanIV,2015,Spring,0
46,Irelia,blue,1,Jungle,Top,RekSai,2015,Spring,1,Rumble,red,1,Jungle,Top,JarvanIV,2015,Spring,0
47,Sion,blue,1,Jungle,Top,RekSai,2015,Spring,0,Renekton,red,1,Jungle,Top,JarvanIV,2015,Spring,1
48,Maokai,blue,1,Jungle,Top,RekSai,2015,Spring,0,Irelia,red,1,Jungle,Top,JarvanIV,2015,Spring,1
49,Morgana,blue,1,Jungle,Top,RekSai,2015,Spring,1,DrMundo,red,1,Jungle,Top,Nunu,2015,Spring,0
50,Gnar,blue,1,Jungle,Top,JarvanIV,2015,Spring,0,Maokai,red,1,Jungle,Top,RekSai,2015,Spring,1
51,Fizz,blue,1,Jungle,Top,RekSai,2015,Spring,1,Maokai,red,1,Jungle,Top,JarvanIV,2015,Spring,0
52,Kennen,blue,1,Jungle,Top,RekSai,2015,Spring,1,Hecarim,red,1,Jungle,Top,Nidalee,2015,Spring,0
53,Maokai,blue,1,Jungle,Top,RekSai,2015,Spring,1,Renekton,red,1,Jungle,Top,Vi,2015,Spring,0
54,Maokai,blue,1,Jungle,Top,JarvanIV,2015,Spring,1,Hecarim,red,1,Jungle,Top,RekSai,2015,Spring,0
55,Maokai,blue,1,Jungle,Top,RekSai,2015,Spring,1,Rumble,red,1,Jungle,Top,Rengar,2015,Spring,0
56,Maokai,blue,1,Jungle,Top,Nidalee,2015,Spring,1,Gnar,red,1,Jungle,Top,JarvanIV,2015,Spring,0
57,Morgana,blue,1,Jungle,Top,LeeSin,2015,Spring,1,Irelia,red,1,Jungle,Top,RekSai,2015,Spring,0
58,Rumble,blue,1,Jungle,Top,Nidalee,2015,Spring,0,Morgana,red,1,Jungle,Top,RekSai,2015,Spring,1
59,Gragas,blue,1,Jungle,Top,RekSai,2015,Spring,1,Maokai,red,1,Jungle,Top,FiddleSticks,2015,Spring,0
60,Rumble,blue,1,Jungle,Top,Vi,2015,Spring,1,Kennen,red,1,Jungle,Top,LeeSin,2015,Spring,0
61,Lissandra,blue,1,Jungle,Top,Sejuani,2015,Spring,0,Hecarim,red,1,Jungle,Top,RekSai,2015,Spring,1
62,Kennen,blue,1,Jungle,Top,JarvanIV,2015,Spring,0,Lulu,red,1,Jungle,Top,RekSai,2015,Spring,1
63,Kennen,blue,1,Jungle,Top,LeeSin,2015,Spring,1,Lulu,red,1,Jungle,Top,Vi,2015,Spring,0
64,Kennen,blue,1,Jungle,Top,JarvanIV,2015,Spring,0,Rumble,red,1,Jungle,Top,Vi,2015,Spring,1
65,Lissandra,blue,1,Jungle,Top,Sejuani,2015,Spring,1,JarvanIV,red,1,Jungle,Top,RekSai,2015,Spring,0
66,Rumble,blue,1,Jungle,Top,Nidalee,2015,Spring,1,Gragas,red,1,Jungle,Top,RekSai,2015,Spring,0
67,Kennen,blue,1,Jungle,Top,JarvanIV,2015,Spring,0,Maokai,red,1,Jungle,Top,Vi,2015,Spring,1
68,Rumble,blue,1,Jungle,Top,RekSai,2015,Spring,1,Maokai,red,1,Jungle,Top,JarvanIV,2015,Spring,0
69,Kennen,blue,1,Jungle,Top,Vi,2015,Spring,1,Irelia,red,1,Jungle,Top,LeeSin,2015,Spring,0
70,Irelia,blue,1,Jungle,Top,Gragas,2015,Spring,0,Rumble,red,1,Jungle,Top,Nidalee,2015,Spring,1
71,DrMundo,blue,1,Jungle,Top,RekSai,2015,Spring,0,Maokai,red,1,Jungle,Top,Vi,2015,Spring,1
72,DrMundo,blue,1,Jungle,Top,RekSai,2015,Spring,0,Maokai,red,1,Jungle,Top,Nunu,2015,Spring,1
73,Sion,blue,1,Jungle,Top,Vi,2015,Spring,1,Hecarim,red,1,Jungle,Top,Zac,2015,Spring,0
74,Lulu,blue,1,Jungle,Top,Sejuani,2015,Spring,0,Gragas,red,1,Jungle,Top,Vi,2015,Spring,1
75,Sion,blue,1,Jungle,Top,Zac,2015,Spring,0,Hecarim,red,1,Jungle,Top,Sejuani,2015,Spring,1
76,Lulu,blue,1,Jungle,Top,Sejuani,2015,Spring,1,Kennen,red,1,Jungle,Top,RekSai,2015,Spring,0
77,Vladimir,blue,1,Jungle,Top,Sejuani,2015,Spring,1,Maokai,red,1,Jungle,Top,Nunu,2015,Spring,0
78,Hecarim,blue,1,Jungle,Top,Nidalee,2015,Spring,1,Lulu,red,1,Jungle,Top,Nunu,2015,Spring,0
79,Lissandra,blue,1,Jungle,Top,Gragas,2015,Spring,0,Lulu,red,1,Jungle,Top,Nunu,2015,Spring,1
80,Irelia,blue,1,Jungle,Top,Nunu,2015,Spring,0,Kennen,red,1,Jungle,Top,Sejuani,2015,Spring,1
81,Maokai,blue,1,Jungle,Top,RekSai,2015,Spring,0,Rumble,red,1,Jungle,Top,Sejuani,2015,Spring,1
82,Sion,blue,1,Jungle,Top,Nidalee,2015,Spring,1,Renekton,red,1,Jungle,Top,RekSai,2015,Spring,0
83,Sion,blue,1,Jungle,Top,RekSai,2015,Spring,0,Lulu,red,1,Jungle,Top,Nidalee,2015,Spring,1
84,Rumble,blue,1,Jungle,Top,RekSai,2015,Spring,0,Sion,red,1,Jungle,Top,Zac,2015,Spring,1
85,Sion,blue,1,Jungle,Top,LeeSin,2015,Spring,1,Lissandra,red,1,Jungle,Top,Gragas,2015,Spring,0
86,Maokai,blue,1,Jungle,Top,Vi,2015,Spring,1,Kennen,red,1,Jungle,Top,RekSai,2015,Spring,0
87,Kennen,blue,1,Jungle,Top,Zac,2015,Spring,0,Hecarim,red,1,Jungle,Top,Sejuani,2015,Spring,1
88,Rumble,blue,1,Jungle,Top,Nunu,2015,Spring,1,Gragas,red,1,Jungle,Top,RekSai,2015,Spring,0
89,Jax,blue,1,Jungle,Top,RekSai,2015,Spring,0,Rumble,red,1,Jungle,Top,Vi,2015,Spring,1
90,Hecarim,blue,1,Jungle,Top,RekSai,2015,Spring,0,Lulu,red,1,Jungle,Top,Sejuani,2015,Spring,1
91,Maokai,blue,1,Jungle,Top,Zac,2015,Spring,1,Hecarim,red,1,Jungle,Top,Vi,2015,Spring,0
92,Rumble,blue,1,Jungle,Top,Gragas,2015,Summer,1,Maokai,red,1,Jungle,Top,RekSai,2015,Summer,0
93,Rumble,blue,1,Jungle,Top,RekSai,2015,Summer,0,Gnar,red,1,Jungle,Top,Gragas,2015,Summer,1
94,Maokai,blue,1,Jungle,Top,LeeSin,2015,Summer,1,Hecarim,red,1,Jungle,Top,Sejuani,2015,Summer,0
95,Gnar,blue,1,Jungle,Top,RekSai,2015,Summer,0,Yasuo,red,1,Jungle,Top,Evelynn,2015,Summer,1
96,Hecarim,blue,1,Jungle,Top,Nunu,2015,Summer,0,Rumble,red,1,Jungle,Top,Sejuani,2015,Summer,1
97,Rumble,blue,1,Jungle,Top,Nunu,2015,Summer,1,Irelia,red,1,Jungle,Top,Sejuani,2015,Summer,0
98,Gnar,blue,1,Jungle,Top,Zac,2015,Summer,1,Maokai,red,1,Jungle,Top,RekSai,2015,Summer,0
99,Hecarim,blue,1,Jungle,Top,Evelynn,2015,Summer,0,Gnar,red,1,Jungle,Top,Sejuani,2015,Summer,1
100,Rumble,blue,1,Jungle,Top,Sejuani,2015,Summer,1,Hecarim,red,1,Jungle,Top,Evelynn,2015,Summer,0
101,Vladimir,blue,1,Jungle,Top,Gragas,2015,Summer,0,Hecarim,red,1,Jungle,Top,LeeSin,2015,Summer,1
102,Irelia,blue,1,Jungle,Top,Gragas,2015,Summer,0,Ryze,red,1,Jungle,Top,RekSai,2015,Summer,1
103,Ryze,blue,1,Jungle,Top,Sejuani,2015,Summer,0,Maokai,red,1,Jungle,Top,RekSai,2015,Summer,1
104,Gnar,blue,1,Jungle,Top,RekSai,2015,Summer,1,Rumble,red,1,Jungle,Top,LeeSin,2015,Summer,0
105,Maokai,blue,1,Jungle,Top,Sejuani,2015,Summer,0,Rumble,red,1,Jungle,Top,RekSai,2015,Summer,1
106,Ryze,blue,1,Jungle,Top,Zac,2015,Summer,1,Irelia,red,1,Jungle,Top,Gragas,2015,Summer,0
107,Maokai,blue,1,Jungle,Top,Gragas,2015,Summer,0,Rumble,red,1,Jungle,Top,Sejuani,2015,Summer,1
108,Maokai,blue,1,Jungle,Top,RekSai,2015,Summer,0,Ryze,red,1,Jungle,Top,JarvanIV,2015,Summer,1
109,Maokai,blue,1,Jungle,Top,LeeSin,2015,Summer,0,Gnar,red,1,Jungle,Top,RekSai,2015,Summer,1
110,Rumble,blue,1,Jungle,Top,Sejuani,2015,Summer,0,Irelia,red,1,Jungle,Top,Gragas,2015,Summer,1
111,Rumble,blue,1,Jungle,Top,RekSai,2015,Summer,0,Gnar,red,1,Jungle,Top,Zac,2015,Summer,1
112,Gnar,blue,1,Jungle,Top,RekSai,2015,Summer,0,Hecarim,red,1,Jungle,Top,Nunu,2015,Summer,1
113,Hecarim,blue,1,Jungle,Top,Gragas,2015,Summer,0,Fizz,red,1,Jungle,Top,RekSai,2015,Summer,1
114,Hecarim,blue,1,Jungle,Top,Ekko,2015,Summer,1,Fizz,red,1,Jungle,Top,Nunu,2015,Summer,0
115,Maokai,blue,1,Jungle,Top,LeeSin,2015,Summer,1,DrMundo,red,1,Jungle,Top,Nidalee,2015,Summer,0
116,Hecarim,blue,1,Jungle,Top,JarvanIV,2015,Summer,0,Ekko,red,1,Jungle,Top,Gragas,2015,Summer,1
117,Maokai,blue,1,Jungle,Top,Gragas,2015,Summer,1,Fizz,red,1,Jungle,Top,Nunu,2015,Summer,0
118,Rumble,blue,1,Jungle,Top,RekSai,2015,Summer,1,Vladimir,red,1,Jungle,Top,Gragas,2015,Summer,0
119,Rumble,blue,1,Jungle,Top,LeeSin,2015,Summer,0,Hecarim,red,1,Jungle,Top,Sejuani,2015,Summer,1
120,Maokai,blue,1,Jungle,Top,RekSai,2015,Summer,0,Rumble,red,1,Jungle,Top,Gragas,2015,Summer,1
121,Gnar,blue,1,Jungle,Top,Nunu,2015,Summer,1,Hecarim,red,1,Jungle,Top,RekSai,2015,Summer,0
122,Hecarim,blue,1,Jungle,Top,XinZhao,2015,Summer,1,Ekko,red,1,Jungle,Top,RekSai,2015,Summer,0
123,Rumble,blue,1,Jungle,Top,RekSai,2015,Summer,0,Gnar,red,1,Jungle,Top,Gragas,2015,Summer,1
124,Rumble,blue,1,Jungle,Top,Sejuani,2015,Summer,0,Gnar,red,1,Jungle,Top,RekSai,2015,Summer,1
125,Ekko,blue,1,Jungle,Top,RekSai,2015,Summer,1,Hecarim,red,1,Jungle,Top,Gragas,2015,Summer,0
126,Rumble,blue,1,Jungle,Top,Sejuani,2015,Summer,1,Maokai,red,1,Jungle,Top,Nidalee,2015,Summer,0
127,Rumble,blue,1,Jungle,Top,Gragas,2015,Summer,1,Irelia,red,1,Jungle,Top,Evelynn,2015,Summer,0
128,Rumble,blue,1,Jungle,Top,XinZhao,2015,Summer,0,Gnar,red,1,Jungle,Top,RekSai,2015,Summer,1
129,Gnar,blue,1,Jungle,Top,RekSai,2015,Summer,1,Fizz,red,1,Jungle,Top,Ekko,2015,Summer,0
130,Hecarim,blue,1,Jungle,Top,RekSai,2015,Summer,0,Rumble,red,1,Jungle,Top,Gragas,2015,Summer,1
131,Rumble,blue,1,Jungle,Top,Sejuani,2015,Summer,0,JarvanIV,red,1,Jungle,Top,RekSai,2015,Summer,1
132,Maokai,blue,1,Jungle,Top,Nocturne,2015,Summer,0,Rumble,red,1,Jungle,Top,Evelynn,2015,Summer,1
133,Sion,blue,1,Jungle,Top,Ekko,2015,Summer,1,Gnar,red,1,Jungle,Top,Evelynn,2015,Summer,0
134,Gnar,blue,1,Jungle,Top,JarvanIV,2015,Summer,1,Shen,red,1,Jungle,Top,Nocturne,2015,Summer,0
135,Fizz,blue,1,Jungle,Top,RekSai,2015,Summer,1,Gnar,red,1,Jungle,Top,Ekko,2015,Summer,0
136,Hecarim,blue,1,Jungle,Top,RekSai,2015,Summer,1,Rumble,red,1,Jungle,Top,Sejuani,2015,Summer,0
137,Hecarim,blue,1,Jungle,Top,Gragas,2015,Summer,1,Gnar,red,1,Jungle,Top,RekSai,2015,Summer,0
138,Maokai,blue,1,Jungle,Top,LeeSin,2015,Summer,1,Rumble,red,1,Jungle,Top,Nocturne,2015,Summer,0
139,Rumble,blue,1,Jungle,Top,JarvanIV,2015,Summer,1,Gnar,red,1,Jungle,Top,Evelynn,2015,Summer,0
140,Vladimir,blue,1,Jungle,Top,Gragas,2015,Summer,1,Hecarim,red,1,Jungle,Top,RekSai,2015,Summer,0
141,Shen,blue,1,Jungle,Top,RekSai,2015,Summer,1,Nautilus,red,1,Jungle,Top,Olaf,2015,Summer,0
142,Nautilus,blue,1,Jungle,Top,Nidalee,2015,Summer,1,Shen,red,1,Jungle,Top,Gragas,2015,Summer,0
143,Lulu,blue,1,Jungle,Top,Evelynn,2015,Summer,0,Nautilus,red,1,Jungle,Top,Gragas,2015,Summer,1
144,Fizz,blue,1,Jungle,Top,RekSai,2015,Summer,0,Nautilus,red,1,Jungle,Top,Gragas,2015,Summer,1
145,Rumble,blue,1,Jungle,Top,Gragas,2015,Summer,0,Nautilus,red,1,Jungle,Top,Nidalee,2015,Summer,1
146,Shen,blue,1,Jungle,Top,Evelynn,2015,Summer,1,Irelia,red,1,Jungle,Top,RekSai,2015,Summer,0
147,Shen,blue,1,Jungle,Top,RekSai,2015,Summer,1,Rumble,red,1,Jungle,Top,Gragas,2015,Summer,0
148,Rumble,blue,1,Jungle,Top,Gragas,2015,Summer,0,Gnar,red,1,Jungle,Top,Nidalee,2015,Summer,1
149,Gnar,blue,1,Jungle,Top,Gragas,2015,Summer,0,Maokai,red,1,Jungle,Top,Nidalee,2015,Summer,1
150,Shen,blue,1,Jungle,Top,Evelynn,2015,Summer,0,Maokai,red,1,Jungle,Top,RekSai,2015,Summer,1
151,Shen,blue,1,Jungle,Top,JarvanIV,2015,Summer,1,Rumble,red,1,Jungle,Top,LeeSin,2015,Summer,0
152,Gnar,blue,1,Jungle,Top,Gragas,2015,Summer,1,Maokai,red,1,Jungle,Top,RekSai,2015,Summer,0
153,Nautilus,blue,1,Jungle,Top,RekSai,2015,Summer,0,Fizz,red,1,Jungle,Top,Gragas,2015,Summer,1
154,Maokai,blue,1,Jungle,Top,Nidalee,2015,Summer,1,Rumble,red,1,Jungle,Top,RekSai,2015,Summer,0
155,Maokai,blue,1,Jungle,Top,Gragas,2015,Summer,1,Nautilus,red,1,Jungle,Top,Vi,2015,Summer,0
156,Gnar,blue,1,Jungle,Top,LeeSin,2015,Summer,1,Rumble,red,1,Jungle,Top,JarvanIV,2015,Summer,0
157,Irelia,blue,1,Jungle,Top,Gragas,2015,Summer,0,Maokai,red,1,Jungle,Top,RekSai,2015,Summer,1
158,Maokai,blue,1,Jungle,Top,Rengar,2015,Summer,1,JarvanIV,red,1,Jungle,Top,LeeSin,2015,Summer,0
159,Maokai,blue,1,Jungle,Top,Gragas,2015,Summer,0,Nautilus,red,1,Jungle,Top,RekSai,2015,Summer,1
160,Ryze,blue,1,Jungle,Top,LeeSin,2015,Summer,1,Nautilus,red,1,Jungle,Top,Gragas,2015,Summer,0
161,Fizz,blue,1,Jungle,Top,Nautilus,2015,Summer,1,Maokai,red,1,Jungle,Top,Evelynn,2015,Summer,0
162,Rumble,blue,1,Jungle,Top,Shyvana,2015,Summer,1,Maokai,red,1,Jungle,Top,Evelynn,2015,Summer,0
163,Maokai,blue,1,Jungle,Top,Nidalee,2015,Summer,1,Shen,red,1,Jungle,Top,Gragas,2015,Summer,0
164,Fizz,blue,1,Jungle,Top,Gragas,2015,Summer,1,Hecarim,red,1,Jungle,Top,RekSai,2015,Summer,0
165,Shen,blue,1,Jungle,Top,Vi,2015,Summer,0,Gnar,red,1,Jungle,Top,RekSai,2015,Summer,1
166,Rumble,blue,1,Jungle,Top,Evelynn,2015,Summer,0,Maokai,red,1,Jungle,Top,Gragas,2015,Summer,1
167,Maokai,blue,1,Jungle,Top,RekSai,2015,Summer,1,Fizz,red,1,Jungle,Top,Gragas,2015,Summer,0
168,Maokai,blue,1,Jungle,Top,Nidalee,2015,Summer,0,Kennen,red,1,Jungle,Top,Gragas,2015,Summer,1
169,Rumble,blue,1,Jungle,Top,RekSai,2015,Summer,0,Maokai,red,1,Jungle,Top,Gragas,2015,Summer,1
170,Vladimir,blue,1,Jungle,Top,Elise,2015,Summer,0,Shen,red,1,Jungle,Top,LeeSin,2015,Summer,1
171,Maokai,blue,1,Jungle,Top,Nidalee,2015,Summer,0,Gnar,red,1,Jungle,Top,Vi,2015,Summer,1
172,Fizz,blue,1,Jungle,Top,Gragas,2015,Summer,0,Maokai,red,1,Jungle,Top,Nidalee,2015,Summer,1
173,Shen,blue,1,Jungle,Top,RekSai,2015,Summer,0,Olaf,red,1,Jungle,Top,Gragas,2015,Summer,1
174,Maokai,blue,1,Jungle,Top,Nidalee,2015,Summer,0,Shen,red,1,Jungle,Top,Evelynn,2015,Summer,1
175,Nautilus,blue,1,Jungle,Top,Nidalee,2015,Summer,0,Maokai,red,1,Jungle,Top,Gragas,2015,Summer,1
176,Khazix,blue,1,Jungle,Top,Zac,2015,Summer,1,Maokai,red,1,Jungle,Top,Nunu,2015,Summer,0
177,Riven,blue,1,Jungle,Top,Ekko,2015,Summer,0,JarvanIV,red,1,Jungle,Top,RekSai,2015,Summer,1
178,Olaf,blue,1,Jungle,Top,Gragas,2015,Summer,1,Rumble,red,1,Jungle,Top,RekSai,2015,Summer,0
179,Shen,blue,1,Jungle,Top,Gragas,2015,Summer,0,Gnar,red,1,Jungle,Top,Shyvana,2015,Summer,1
180,Rumble,blue,1,Jungle,Top,Gragas,2015,Summer,0,Kassadin,red,1,Jungle,Top,Elise,2015,Summer,1
181,Maokai,blue,1,Jungle,Top,Gragas,2015,Summer,1,Gnar,red,1,Jungle,Top,LeeSin,2015,Summer,0
182,Shen,blue,1,Jungle,Top,Gragas,2015,Summer,0,Maokai,red,1,Jungle,Top,Shyvana,2015,Summer,1
183,Gnar,blue,1,Jungle,Top,Nidalee,2015,Summer,1,Maokai,red,1,Jungle,Top,Rengar,2015,Summer,0
184,Maokai,blue,1,Jungle,Top,Nidalee,2015,Summer,1,Fizz,red,1,Jungle,Top,Nautilus,2015,Summer,0
185,Vladimir,blue,1,Jungle,Top,LeeSin,2015,Spring,0,Rumble,red,1,Jungle,Top,Sejuani,2015,Spring,1
186,Lulu,blue,1,Jungle,Top,Nunu,2015,Spring,1,Vladimir,red,1,Jungle,Top,Sejuani,2015,Spring,0
187,Rumble,blue,1,Jungle,Top,JarvanIV,2015,Spring,0,Hecarim,red,1,Jungle,Top,Sejuani,2015,Spring,1
188,Hecarim,blue,1,Jungle,Top,LeeSin,2015,Spring,1,Maokai,red,1,Jungle,Top,RekSai,2015,Spring,0
189,Rumble,blue,1,Jungle,Top,RekSai,2015,Spring,1,Morgana,red,1,Jungle,Top,Vi,2015,Spring,0
190,Shyvana,blue,1,Jungle,Top,Nunu,2015,Spring,0,Hecarim,red,1,Jungle,Top,RekSai,2015,Spring,1
191,Maokai,blue,1,Jungle,Top,RekSai,2015,Spring,0,Vladimir,red,1,Jungle,Top,Vi,2015,Spring,1
192,Hecarim,blue,1,Jungle,Top,Gragas,2015,Spring,0,Sion,red,1,Jungle,Top,Sejuani,2015,Spring,1
193,Hecarim,blue,1,Jungle,Top,Nunu,2015,Spring,1,Maokai,red,1,Jungle,Top,Sejuani,2015,Spring,0
194,Hecarim,blue,1,Jungle,Top,Sejuani,2015,Spring,1,Sion,red,1,Jungle,Top,Nunu,2015,Spring,0
195,Lulu,blue,1,Jungle,Top,Sejuani,2015,Spring,0,Maokai,red,1,Jungle,Top,Gragas,2015,Spring,1
196,Hecarim,blue,1,Jungle,Top,Gragas,2015,Spring,1,Maokai,red,1,Jungle,Top,Sejuani,2015,Spring,0
197,Lulu,blue,1,Jungle,Top,Nidalee,2015,Spring,0,Shyvana,red,1,Jungle,Top,Nunu,2015,Spring,1
198,Kennen,blue,1,Jungle,Top,Nunu,2015,Spring,0,Lulu,red,1,Jungle,Top,Gragas,2015,Spring,1
199,Gnar,blue,1,Jungle,Top,LeeSin,2015,Spring,0,Maokai,red,1,Jungle,Top,Gragas,2015,Spring,1
200,Shyvana,blue,1,Jungle,Top,Nunu,2015,Spring,0,Sion,red,1,Jungle,Top,Gragas,2015,Spring,1
201,Gnar,blue,1,Jungle,Top,Gragas,2015,Spring,1,Vladimir,red,1,Jungle,Top,RekSai,2015,Spring,0
202,Rumble,blue,1,Jungle,Top,Sejuani,2015,Spring,1,Morgana,red,1,Jungle,Top,RekSai,2015,Spring,0
203,Hecarim,blue,1,Jungle,Top,RekSai,2015,Spring,0,Shyvana,red,1,Jungle,Top,Gragas,2015,Spring,1
204,Sion,blue,1,Jungle,Top,Gragas,2015,Spring,1,Hecarim,red,1,Jungle,Top,Nunu,2015,Spring,0
