,CHAMP1_x,Team_x,CHAMP2_x,Year_x,CHAMP1_y,CHAMP2_y,Partidas_x,bResult
63,Mage/Marksman/,blue,Tank/Fighter/,2015,Fighter/Mage/,Fighter/Assassin/,1,0
64,Mage/,blue,Tank/Fighter/,2015,Tank/Fighter/,Fighter/,1,1
65,Fighter/Mage/,blue,Assassin/Fighter/,2015,Fighter/Mage/,Fighter/,2,1
66,Mage/Marksman/,blue,Tank/Fighter/,2015,Tank/Mage/,Fighter/Assassin/,1,0
67,Mage/Marksman/,blue,Fighter/Assassin/,2015,Fighter/Assassin/,Fighter/Assassin/,1,1
68,Fighter/Assassin/,blue,Fighter/Mage/,2015,Fighter/Mage/,Assassin/Fighter/,1,0
69,Fighter/Tank/,blue,Fighter/,2015,Tank/Mage/,Fighter/Assassin/,8,4
70,Tank/Fighter/,blue,Fighter/Assassin/,2015,Fighter/Tank/,Tank/Fighter/,2,1
71,Support/Mage/,blue,Tank/Fighter/,2015,Fighter/Mage/,Fighter/Assassin/,3,1
72,Tank/Fighter/,blue,Tank/Fighter/,2015,Fighter/Tank/,Tank/Fighter/,2,0
73,Support/Mage/,blue,Tank/Fighter/,2015,Mage/Marksman/,Fighter/,1,1
74,Mage/Tank/,blue,Tank/Fighter/,2015,Tank/Mage/,Tank/Fighter/,1,1
75,Fighter/Tank/,blue,Assassin/Fighter/,2015,Support/Mage/,Tank/Fighter/,1,1
76,Mage/,blue,Fighter/Mage/,2015,Support/Mage/,Tank/Fighter/,1,0
77,Fighter/Assassin/,blue,Tank/Fighter/,2015,Mage/Marksman/,Tank/Fighter/,1,0
78,Tank/Fighter/,blue,Assassin/Fighter/,2015,Fighter/Tank/,Fighter/,1,1
79,Tank/Fighter/,blue,Fighter/,2015,Support/Mage/,Assassin/Fighter/,1,0
80,Fighter/Mage/,blue,Fighter/,2015,Tank/Fighter/,Tank/Fighter/,1,0
81,Tank/Fighter/,blue,Fighter/Assassin/,2015,Mage/,Fighter/Mage/,1,1
82,Tank/Mage/,blue,Fighter/Assassin/,2015,Mage/Marksman/,Fighter/,1,1
83,Mage/Marksman/,blue,Tank/Fighter/,2015,Fighter/Tank/,Tank/Fighter/,2,1
84,Fighter/Mage/,blue,Tank/Fighter/,2015,Fighter/Mage/,Fighter/,1,1
85,Fighter/Assassin/,blue,Fighter/,2015,Fighter/Mage/,Fighter/Assassin/,1,0
86,Fighter/Tank/,blue,Fighter/,2015,Support/Mage/,Tank/Fighter/,2,0
87,Tank/Mage/,blue,Tank/Fighter/,2015,Fighter/Tank/,Fighter/Assassin/,4,3
