,TAG1,TAG2,Total_Played,Wins
145,Fighter/,Assassin/Fighter/,157,82
81,Fighter/,Marksman/,198,81
130,Fighter/,Tank/Fighter/,159,80
169,Tank/Fighter/,Assassin/Mage/,151,80
144,Support/Mage/,Mage/Support/,147,79
57,Mage/Fighter/,Mage/Marksman/,137,78
111,Mage/Fighter/,Mage/Assassin/,152,76
106,Marksman/,Mage/Fighter/,148,75
69,Tank/Mage/,Mage/Fighter/,158,74
215,Fighter/Tank/,Mage/,147,72
175,Tank/Fighter/,Mage/Marksman/,123,70
58,Tank/,Mage/Fighter/,141,70
70,Marksman/Mage/,Mage/Assassin/,117,68
127,Fighter/Mage/,Mage/Assassin/,122,68
117,Assassin/Fighter/,Fighter/Mage/,114,68
133,Marksman/,Assassin/Mage/,151,68
103,Fighter/Mage/,Marksman/Mage/,101,68
98,Fighter/,Fighter/Mage/,111,67
230,Fighter/Tank/,Fighter/Tank/,155,67
131,Assassin/Fighter/,Mage/Marksman/,120,66
181,Tank/Fighter/,Tank/Mage/,121,65
63,Marksman/Assassin/,Mage/Assassin/,101,63
80,Fighter/Mage/,Fighter/Mage/,118,63
83,Tank/,Marksman/,133,61
126,Mage/Fighter/,Mage/Fighter/,113,60
108,Fighter/Assassin/,Tank/Support/,121,59
164,Tank/,Tank/Fighter/,106,57
163,Tank/Fighter/,Support/,94,55
154,Fighter/Assassin/,Fighter/Assassin/,138,54
94,Marksman/Support/,Tank/Support/,102,53
89,Fighter/,Mage/Tank/,112,52
212,Fighter/Tank/,Support/Tank/,101,52
92,Tank/,Fighter/Assassin/,108,52
207,Tank/Mage/,Mage/Support/,101,51
119,Fighter/,Fighter/Tank/,113,51
95,Fighter/Mage/,Mage/Tank/,104,50
137,Marksman/,Marksman/,111,50
112,Mage/Fighter/,Fighter/Tank/,88,50
96,Fighter/Mage/,Support/,91,50
162,Mage/Fighter/,Fighter/,102,49
150,Tank/,Fighter/Tank/,98,49
246,Tank/Fighter/,Fighter/Tank/,97,49
166,Mage/Fighter/,Tank/Fighter/,93,48
129,Fighter/Mage/,Tank/Mage/,92,48
205,Marksman/Assassin/,Tank/Fighter/,91,48
187,Fighter/Assassin/,Fighter/Tank/,103,47
149,Marksman/Mage/,Fighter/Tank/,99,46
199,Fighter/Tank/,Support/Fighter/,97,44
235,Assassin/Fighter/,Tank/Fighter/,99,44
197,Marksman/,Assassin/Fighter/,83,42
115,Marksman/Support/,Mage/Assassin/,88,41
123,Fighter/,Fighter/,83,41
148,Support/Mage/,Marksman/,78,40
170,Assassin/Fighter/,Fighter/Tank/,81,40
204,Tank/Mage/,Support/Mage/,64,39
152,Marksman/Assassin/,Fighter/Tank/,74,39
167,Marksman/Mage/,Tank/Fighter/,83,39
185,Assassin/Fighter/,Mage/Tank/,71,39
224,Fighter/Tank/,Tank/Mage/,86,38
211,Assassin/Fighter/,Fighter/Marksman/,75,36
188,Assassin/Fighter/,Fighter/Assassin/,65,36
259,Fighter/Tank/,Assassin/Mage/,87,36
184,Fighter/,Marksman/Mage/,71,36
135,Fighter/Marksman/,Mage/Fighter/,68,35
134,Mage/Fighter/,Mage/Tank/,69,33
221,Assassin/Mage/,Mage/,68,31
223,Tank/Mage/,Fighter/Tank/,77,31
228,Fighter/Marksman/,Tank/Fighter/,55,31
178,Assassin/Fighter/,Marksman/Mage/,80,30
147,Mage/Fighter/,Marksman/Mage/,72,30
189,Support/Mage/,Support/Mage/,54,30
139,Mage/Fighter/,Fighter/Marksman/,67,30
226,Fighter/Tank/,Tank/Support/,53,29
227,Fighter/Tank/,Mage/Assassin/,61,28
242,Marksman/,Tank/,45,28
142,Marksman/Support/,Marksman/,55,27
146,Marksman/Support/,Fighter/Tank/,41,27
219,Tank/Fighter/,Marksman/Mage/,44,26
198,Support/Mage/,Mage/Fighter/,46,26
254,Tank/Fighter/,Fighter/Marksman/,53,26
176,Fighter/Assassin/,Mage/Marksman/,59,25
179,Assassin/Fighter/,Tank/Mage/,52,24
210,Fighter/Assassin/,Tank/Mage/,46,24
182,Marksman/,Mage/Tank/,60,24
193,Marksman/Assassin/,Support/,54,24
165,Mage/Marksman/,Fighter/Assassin/,52,24
195,Tank/Mage/,Assassin/Mage/,58,23
216,Tank/Mage/,Support/Fighter/,43,23
160,Support/Mage/,Fighter/,47,22
159,Tank/,Support/Mage/,33,22
171,Mage/,Fighter/,39,22
157,Marksman/Assassin/,Marksman/,43,22
214,Fighter/Tank/,Mage/Tank/,35,22
153,Assassin/Mage/,Tank/Support/,54,22
234,Mage/Fighter/,Fighter/Mage/,34,21
158,Fighter/Assassin/,Mage/Tank/,44,21
172,Support/Mage/,Mage/Assassin/,37,21
168,Fighter/Marksman/,Fighter/Mage/,35,20
233,Marksman/,Fighter/Mage/,39,20
284,Support/Mage/,Assassin/Fighter/,39,19
266,Mage/Marksman/,Tank/Fighter/,44,19
180,Fighter/Marksman/,Fighter/Assassin/,31,19
174,Mage/Marksman/,Mage/Fighter/,37,19
173,Mage/Marksman/,Fighter/Mage/,33,19
206,Mage/,Tank/Fighter/,34,19
186,Fighter/Mage/,Fighter/Marksman/,36,18
177,Fighter/,Support/,48,18
218,Mage/,Fighter/Assassin/,39,17
183,Mage/Marksman/,Fighter/,43,17
