,CHAMP1,CHAMP2,Year,Season,Team,CHAMP1_POS,CHAMP2_POS,Total_Played,Wins
0,DrMundo,Elise,2016,Spring,blue,Top,Jungle,3,0
1,Ryze,LeeSin,2016,Spring,blue,Top,Jungle,3,2
2,Malphite,Kindred,2016,Spring,blue,Top,Jungle,6,4
3,DrMundo,RekSai,2016,Spring,blue,Top,Jungle,5,1
4,Lulu,Elise,2016,Spring,blue,Top,Jungle,8,3
5,Fiora,Elise,2016,Spring,blue,Top,Jungle,35,17
6,TahmKench,RekSai,2016,Spring,blue,Top,Jungle,10,8
7,Lissandra,RekSai,2016,Spring,blue,Top,Jungle,5,1
8,Lissandra,LeeSin,2016,Spring,blue,Top,Jungle,5,3
9,Poppy,LeeSin,2016,Spring,blue,Top,Jungle,8,5
10,Shen,RekSai,2016,Spring,blue,Top,Jungle,3,0
11,TahmKench,Elise,2016,Spring,blue,Top,Jungle,12,7
12,Poppy,Graves,2016,Spring,blue,Top,Jungle,33,19
13,Maokai,Nidalee,2016,Spring,blue,Top,Jungle,11,5
14,Gangplank,Elise,2016,Spring,blue,Top,Jungle,22,13
15,Shen,Elise,2016,Spring,blue,Top,Jungle,4,1
16,Fiora,RekSai,2016,Spring,blue,Top,Jungle,15,8
17,TahmKench,Nidalee,2016,Spring,blue,Top,Jungle,4,1
18,Poppy,RekSai,2016,Spring,blue,Top,Jungle,16,12
19,Graves,Poppy,2016,Spring,blue,Top,Jungle,1,1
20,TahmKench,Graves,2016,Spring,blue,Top,Jungle,8,5
21,Fiora,LeeSin,2016,Spring,blue,Top,Jungle,6,1
22,Gangplank,RekSai,2016,Spring,blue,Top,Jungle,11,9
23,Poppy,Nidalee,2016,Spring,blue,Top,Jungle,33,20
24,Fiora,Nidalee,2016,Spring,blue,Top,Jungle,11,7
25,Ryze,Graves,2016,Spring,blue,Top,Jungle,3,1
26,Malphite,RekSai,2016,Spring,blue,Top,Jungle,7,1
27,Ekko,RekSai,2016,Spring,blue,Top,Jungle,2,2
28,Poppy,Nunu,2016,Spring,blue,Top,Jungle,1,1
29,Ryze,Nidalee,2016,Spring,blue,Top,Jungle,2,0
30,Quinn,Elise,2016,Spring,blue,Top,Jungle,5,2
31,Trundle,Nidalee,2016,Spring,blue,Top,Jungle,13,9
32,Malphite,Elise,2016,Spring,blue,Top,Jungle,12,8
33,Malphite,Nunu,2016,Spring,blue,Top,Jungle,1,1
34,Nautilus,Graves,2016,Spring,blue,Top,Jungle,14,6
35,Malphite,Graves,2016,Spring,blue,Top,Jungle,5,3
36,Ryze,RekSai,2016,Spring,blue,Top,Jungle,16,7
37,Quinn,Nidalee,2016,Spring,blue,Top,Jungle,4,3
38,Malphite,Gragas,2016,Spring,blue,Top,Jungle,8,5
39,Poppy,Gragas,2016,Spring,blue,Top,Jungle,33,20
40,Poppy,Elise,2016,Spring,blue,Top,Jungle,45,27
41,Poppy,Udyr,2016,Spring,blue,Top,Jungle,1,0
42,Malphite,Nidalee,2016,Spring,blue,Top,Jungle,4,2
