,CHAMP1,CHAMP2,Year,Season,Team,CHAMP1_POS,CHAMP2_POS,Total_Played,Wins
0,Gangplank,Gragas,2018,Spring,blue,Top,Jungle,2,2
1,Shen,Sejuani,2018,Spring,blue,Top,Jungle,4,2
2,Gangplank,Evelynn,2018,Spring,blue,Top,Jungle,2,2
3,Lucian,Zac,2018,Spring,blue,Top,Jungle,1,1
4,Chogath,Sejuani,2018,Spring,blue,Top,Jungle,5,2
5,Gnar,Khazix,2018,Spring,blue,Top,Jungle,3,1
6,Camille,Evelynn,2018,Spring,blue,Top,Jungle,1,0
7,Gnar,Evelynn,2018,Spring,blue,Top,Jungle,1,0
8,Ornn,JarvanIV,2018,Spring,blue,Top,Jungle,9,5
9,Ornn,Rengar,2018,Spring,blue,Top,Jungle,4,1
10,Gangplank,Sejuani,2018,Spring,blue,Top,Jungle,3,2
11,Ornn,Nidalee,2018,Spring,blue,Top,Jungle,2,1
12,Gangplank,Rengar,2018,Spring,blue,Top,Jungle,3,2
13,Gangplank,Khazix,2018,Spring,blue,Top,Jungle,4,2
14,Gnar,Zac,2018,Spring,blue,Top,Jungle,9,8
15,Gangplank,Jax,2018,Spring,blue,Top,Jungle,2,2
16,Gangplank,Shyvana,2018,Spring,blue,Top,Jungle,4,3
17,Gnar,JarvanIV,2018,Spring,blue,Top,Jungle,13,9
18,Camille,Khazix,2018,Spring,blue,Top,Jungle,2,2
19,Gnar,Sejuani,2018,Spring,blue,Top,Jungle,8,6
20,Gangplank,JarvanIV,2018,Spring,blue,Top,Jungle,6,4
21,Gnar,Ivern,2018,Spring,blue,Top,Jungle,1,1
22,Ornn,Sejuani,2018,Spring,blue,Top,Jungle,8,6
23,Vladimir,Nidalee,2018,Spring,blue,Top,Jungle,1,0
24,Maokai,Shyvana,2018,Spring,blue,Top,Jungle,1,0
25,Ornn,Khazix,2018,Spring,blue,Top,Jungle,2,2
26,Gnar,Shyvana,2018,Spring,blue,Top,Jungle,1,0
27,Karma,Khazix,2018,Spring,blue,Top,Jungle,1,1
28,Chogath,Khazix,2018,Spring,blue,Top,Jungle,3,2
29,Gangplank,Zac,2018,Spring,blue,Top,Jungle,6,4
30,Maokai,JarvanIV,2018,Spring,blue,Top,Jungle,6,1
31,Malphite,Khazix,2018,Spring,blue,Top,Jungle,1,1
32,Chogath,Zac,2018,Spring,blue,Top,Jungle,2,0
33,Camille,Zac,2018,Spring,blue,Top,Jungle,3,2
34,Vladimir,JarvanIV,2018,Spring,blue,Top,Jungle,6,2
35,Rumble,Sejuani,2018,Spring,blue,Top,Jungle,1,0
36,Chogath,LeeSin,2018,Spring,blue,Top,Jungle,1,1
37,DrMundo,JarvanIV,2018,Spring,blue,Top,Jungle,1,0
38,Jayce,LeeSin,2018,Spring,blue,Top,Jungle,1,1
39,Shen,Shyvana,2018,Spring,blue,Top,Jungle,1,0
40,Ornn,Evelynn,2018,Spring,blue,Top,Jungle,1,1
41,Ornn,Shyvana,2018,Spring,blue,Top,Jungle,1,0
42,Kennen,Shyvana,2018,Spring,blue,Top,Jungle,1,0
43,Ornn,Zac,2018,Spring,blue,Top,Jungle,1,1
44,Chogath,JarvanIV,2018,Spring,blue,Top,Jungle,3,1
45,Renekton,Nidalee,2018,Spring,blue,Top,Jungle,1,1
46,Shen,JarvanIV,2018,Spring,blue,Top,Jungle,3,2
47,Renekton,JarvanIV,2018,Spring,blue,Top,Jungle,2,1
48,Kled,RekSai,2018,Spring,blue,Top,Jungle,1,1
49,Poppy,Gragas,2018,Spring,blue,Top,Jungle,1,1
50,Poppy,JarvanIV,2018,Spring,blue,Top,Jungle,1,0
51,JarvanIV,Elise,2018,Spring,blue,Top,Jungle,1,0
52,Camille,Gragas,2018,Spring,blue,Top,Jungle,4,2
53,Shen,Poppy,2018,Spring,blue,Top,Jungle,1,1
54,Renekton,Sejuani,2018,Spring,blue,Top,Jungle,1,0
55,Nautilus,Gragas,2018,Spring,blue,Top,Jungle,1,0
56,Renekton,Elise,2018,Spring,blue,Top,Jungle,1,1
57,Maokai,Nidalee,2018,Spring,blue,Top,Jungle,1,0
58,Gnar,Maokai,2018,Spring,blue,Top,Jungle,2,2
59,Gnar,Gragas,2018,Spring,blue,Top,Jungle,8,4
60,Irelia,Sejuani,2018,Spring,blue,Top,Jungle,1,0
61,Jayce,JarvanIV,2018,Spring,blue,Top,Jungle,4,2
62,JarvanIV,Sejuani,2018,Spring,blue,Top,Jungle,1,1
63,Camille,Maokai,2018,Spring,blue,Top,Jungle,1,0
64,JarvanIV,Zac,2018,Spring,blue,Top,Jungle,1,0
65,JarvanIV,Gragas,2018,Spring,blue,Top,Jungle,1,0
66,Gragas,Maokai,2018,Spring,blue,Top,Jungle,1,0
67,Jayce,Zac,2018,Spring,blue,Top,Jungle,2,1
