,CHAMP1,CHAMP2,Year,Season,Team,CHAMP1_POS,CHAMP2_POS,Total_Played,Wins
0,Maokai,JarvanIV,2014,Summer,blue,Top,Jungle,5,2
1,Alistar,LeeSin,2014,Summer,blue,Top,Jungle,1,1
2,Maokai,LeeSin,2014,Summer,blue,Top,Jungle,6,3
3,DrMundo,LeeSin,2014,Summer,blue,Top,Jungle,1,0
4,Irelia,Rengar,2014,Summer,blue,Top,Jungle,1,1
5,Ryze,Khazix,2014,Summer,blue,Top,Jungle,6,4
6,Maokai,Rengar,2014,Summer,blue,Top,Jungle,4,4
7,Ryze,LeeSin,2014,Summer,blue,Top,Jungle,4,3
8,Alistar,Khazix,2014,Summer,blue,Top,Jungle,3,2
9,Rumble,LeeSin,2014,Summer,blue,Top,Jungle,7,3
10,Maokai,Khazix,2014,Summer,blue,Top,Jungle,2,1
11,Ryze,Pantheon,2014,Summer,blue,Top,Jungle,1,0
12,Irelia,LeeSin,2014,Summer,blue,Top,Jungle,5,3
13,Kayle,LeeSin,2014,Summer,blue,Top,Jungle,2,1
14,Swain,Khazix,2014,Summer,blue,Top,Jungle,1,1
15,Rumble,JarvanIV,2014,Summer,blue,Top,Jungle,2,1
16,Rumble,Khazix,2014,Summer,blue,Top,Jungle,2,2
17,Lulu,JarvanIV,2014,Summer,blue,Top,Jungle,2,0
18,Riven,LeeSin,2014,Summer,blue,Top,Jungle,1,1
19,Ryze,Elise,2014,Summer,blue,Top,Jungle,4,3
20,Irelia,Evelynn,2014,Summer,blue,Top,Jungle,1,1
21,Rumble,Elise,2014,Summer,blue,Top,Jungle,1,0
22,Irelia,Rammus,2014,Summer,blue,Top,Jungle,1,1
23,Kassadin,LeeSin,2014,Summer,blue,Top,Jungle,1,1
24,DrMundo,Khazix,2014,Summer,blue,Top,Jungle,2,0
25,Nidalee,Elise,2014,Summer,blue,Top,Jungle,1,0
26,Maokai,Elise,2014,Summer,blue,Top,Jungle,1,0
27,Ryze,JarvanIV,2014,Summer,blue,Top,Jungle,1,1
28,Kassadin,Khazix,2014,Summer,blue,Top,Jungle,1,0
29,Ryze,Rengar,2014,Summer,blue,Top,Jungle,2,1
30,Irelia,JarvanIV,2014,Summer,blue,Top,Jungle,1,0
31,Maokai,Pantheon,2014,Summer,blue,Top,Jungle,1,1
32,Rumble,Rengar,2014,Summer,blue,Top,Jungle,1,1
33,Maokai,Rammus,2014,Summer,blue,Top,Jungle,1,1
34,Kassadin,Rengar,2014,Summer,blue,Top,Jungle,1,1
35,Maokai,FiddleSticks,2014,Summer,blue,Top,Jungle,1,1
0,JarvanIV,Orianna,2014,Summer,blue,Jungle,Middle,4,1
1,LeeSin,Yasuo,2014,Summer,blue,Jungle,Middle,7,5
2,LeeSin,Syndra,2014,Summer,blue,Jungle,Middle,2,0
3,Rengar,Zilean,2014,Summer,blue,Jungle,Middle,1,1
4,Khazix,Syndra,2014,Summer,blue,Jungle,Middle,2,2
5,Rengar,Orianna,2014,Summer,blue,Jungle,Middle,2,2
6,Khazix,Orianna,2014,Summer,blue,Jungle,Middle,5,3
7,LeeSin,Xerath,2014,Summer,blue,Jungle,Middle,1,1
8,Rengar,Zed,2014,Summer,blue,Jungle,Middle,1,1
9,Khazix,Zed,2014,Summer,blue,Jungle,Middle,5,3
